"election_type","election_date","results_status","results_date","province_code","province_name_eng","province_name_dari","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital","ballot_position","candidate_code","candidate_name_eng","candidate_name_dari","party_name_dari","candidate_gender","first_round_winner","run_off_winner","past_winners","male_ps_votes","fem_ps_votes","votes"
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","02","KAPISA","کاپیسا","0201","MAHMUD-E- RAQI","محمود راقى","0201","MAHMUD-E- RAQI","محمود راقى","YES",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",2089,824,2913
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","02","KAPISA","کاپیسا","0202","HISA-E- DUWUM-E- KOHESTAN","حصه دوم كوهستان","0202","HISA-E- DUWUM-E- KOHESTAN","حصه دوم كوهستان","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",6046,1984,8030
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","02","KAPISA","کاپیسا","0202","HISA-E- DUWUM-E- KOHESTAN","حصه دوم كوهستان","0202","HISA-E- DUWUM-E- KOHESTAN","حصه دوم كوهستان","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",203,51,254
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","02","KAPISA","کاپیسا","0203","KOHBAND","كوه بند","0203","KOHBAND","كوه بند","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",6252,3141,9393
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","02","KAPISA","کاپیسا","0203","KOHBAND","كوه بند","0203","KOHBAND","كوه بند","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",717,156,873
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","02","KAPISA","کاپیسا","0204","HISA-E- AWAL-E- KOHESTAN","حصه اول كوهستان","0204","HISA-E- AWAL-E- KOHESTAN","حصه اول كوهستان","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",12050,7346,19396
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","02","KAPISA","کاپیسا","0204","HISA-E- AWAL-E- KOHESTAN","حصه اول كوهستان","0204","HISA-E- AWAL-E- KOHESTAN","حصه اول كوهستان","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",498,215,713
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","02","KAPISA","کاپیسا","0205","NEJRAB","نجراب","0205","NEJRAB","نجراب","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",13721,12194,25915
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","02","KAPISA","کاپیسا","0205","NEJRAB","نجراب","0205","NEJRAB","نجراب","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",1519,1119,2638
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","02","KAPISA","کاپیسا","0206","TAGAB","تكاب","0206","TAGAB","تكاب","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",458,286,744
