"province_code","province_name_eng","province_name_dari","province_name_pashto","district_code","district_name_eng","district_name_dari","district_name_pashto","pc_code","pc_name_eng","pc_name_dari","pc_name_pashto","pc_location_eng","pc_location_dari","pc_location_pashto"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101086","Hazrat Bilal Mosque","مسجد حضرت بلال","مسجد حضرت بلال","Qalla e Kashif","قلعه کاشف","قلعه کاشف"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101087","Hazrat Mohammad (pbuh) Mosque","مسجد حضرت محمد ص","مسجد حضرت محمد ص","Rigration","ریگ ریشن","ریگ ریشن"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101088","Qalla e Kashif High School","ليسه قلعه کاشف","ليسه قلعه کاشف","Company Bazzar","بازار کمپني","بازار کمپني"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101089","Shaheed Mosque","مسجد شهيد","مسجد شهيد","Qaryah e Wardaki ha (Wardaki ha village)","قريه وردک ها","قريه وردک ها"
"01","KABUL","کابل","کابل","0101","Nahia 06","ناحیه 06","ناحیه 06","0101090","Sar Aasyab Girls High School","ليسه نسوان سر آسياب","ليسه نسوان سر آسياب","Sar Aasyab","سر آسياب","سر آسياب"
"01","KABUL","کابل","کابل","0101","Nahia 06","ناحیه 06","ناحیه 06","0101091","Shah E Welayat Ma'ab Mosque","مسجد شاه ولايت ماب","مسجد شاه ولايت ماب","Afshar Darul Aman","افشار دارالامان","افشار دارالامان"
"01","KABUL","کابل","کابل","0101","Nahia 06","ناحیه 06","ناحیه 06","0101092","Qalla e Bakhtyar High School","لیسه قلعه بختیار","لیسه قلعه بختیار","Nawabad Qalla e Bakhtyar","نوآباد قلعه بختیار","نوآباد قلعه بختیار"
"01","KABUL","کابل","کابل","0101","Nahia 06","ناحیه 06","ناحیه 06","0101093","Tuberculosis Institute","انستيتوت توبرکلوز","انستيتوت توبرکلوز","Darulaman","دارالامان","دارالامان"
"01","KABUL","کابل","کابل","0101","Nahia 06","ناحیه 06","ناحیه 06","0101094","Finance and Accounting Institute (Mali wa Hesabi *","انستیتوت مالی و حسابی","انستیتوت مالی و حسابی","Darulaman","دارالامان","دارالامان"
"01","KABUL","کابل","کابل","0101","Nahia 06","ناحیه 06","ناحیه 06","0101095","Jafaria Mosque","مسجد جعفريه","مسجد جعفريه","Alauddin","علاوالدين","علاوالدين"
"01","KABUL","کابل","کابل","0101","Nahia 06","ناحیه 06","ناحیه 06","0101096","Mohammadia Mosque","مسجد محمديه","مسجد محمديه","Kart e seh(3)","کارته سه","کارته سه"
"01","KABUL","کابل","کابل","0101","Nahia 06","ناحیه 06","ناحیه 06","0101097","Abdul Ghani Mostaghni High School","ليسه عبدالغني مستغني","ليسه عبدالغني مستغني","Kart e seh(3)","کارته سه","کارته سه"
"01","KABUL","کابل","کابل","0101","Nahia 06","ناحیه 06","ناحیه 06","0101098","Markaz Nahia e Shashum (Nahia 6 Center)","مرکز ناحيه ششم","مرکز ناحيه ششم","Markaz Nahia e Shashum (Nahia 6 Center)","مرکز ناحيه ششم","مرکز ناحيه ششم"
"01","KABUL","کابل","کابل","0101","Nahia 06","ناحیه 06","ناحیه 06","0101099","Resalat Madrassah","مدرسه رسالت","مدرسه رسالت","Qalla e Wazir","قلعه وزير","قلعه وزير"
"01","KABUL","کابل","کابل","0101","Nahia 06","ناحیه 06","ناحیه 06","0101100","Safed Mosque (White Mosque)","مسجد سفيد","مسجد سفيد","Qalla e Wazir","قلعه وزير","قلعه وزير"
"01","KABUL","کابل","کابل","0101","Nahia 06","ناحیه 06","ناحیه 06","0101101","Ahmadi Mosque","مسجد احمدي","مسجد احمدي","Dash hai Haji Hussain","داش هاي حاجي حسين","داش هاي حاجي حسين"
"01","KABUL","کابل","کابل","0101","Nahia 06","ناحیه 06","ناحیه 06","0101102","Wahdat Takya Khanahh","تکيه خانه وحدت","تکيه خانه وحدت","Pul e Wahdat","پل وحدت","پل وحدت"
"01","KABUL","کابل","کابل","0101","Nahia 06","ناحیه 06","ناحیه 06","0101103","Ummul Baneen High School","لیسه ام البنین","لیسه ام البنین","Qalla e Shahadah","قلعه شهاده","قلعه شهاده"
