"pc","list_position","x"
"0302040 - Nikah Khil Madrassah - 302040",4,"#pc > option:nth-child(4)"
"0302041 - Khanqa Girls Secondary School - 302041",5,"#pc > option:nth-child(5)"
"0302042 - Naseri High School - 302042",6,"#pc > option:nth-child(6)"
"0302043 - Qalla Band High School - 302043",7,"#pc > option:nth-child(7)"
"0302044 - Taloot Shaheed School - 302044",8,"#pc > option:nth-child(8)"
"0302045 - Sher Aqa Shaheed School - 302045",9,"#pc > option:nth-child(9)"
"0302046 - Janqadam School - 302046",10,"#pc > option:nth-child(10)"
"0302047 - Bagram Airport Girls High School - 302047",11,"#pc > option:nth-child(11)"
"0302048 - Dahan Maidan Jame Mosque - 302048",12,"#pc > option:nth-child(12)"
"0302049 - Ghulam Ali Girls Secondary School - 302049",13,"#pc > option:nth-child(13)"
"0302050 - Shafaq Shaheed High School - 302050",14,"#pc > option:nth-child(14)"
"0302051 - Mullah Mohammad Shaheed School and Tonchi Mosque - 302051",15,"#pc > option:nth-child(15)"
"0302052 - Yorchi Jame Mosque - 302052",16,"#pc > option:nth-child(16)"
"0302053 - Qalla e Malik High School - 302053",17,"#pc > option:nth-child(17)"
"0302054 - Abdul Sattar Shaheed High School - 302054",18,"#pc > option:nth-child(18)"
"0302055 - Deh Mullah Mosque - 302055",19,"#pc > option:nth-child(19)"
"0302056 - Aziz Rahman Shah School - 302056",20,"#pc > option:nth-child(20)"
"0302057 - Deh Meskeen Jame Mosque  - 302057",21,"#pc > option:nth-child(21)"
"0302058 - Qazi Abdul Jamil Khil Secondary School - 302058",22,"#pc > option:nth-child(22)"
"0302059 - Abu Zar Ghafari High School - 302059",23,"#pc > option:nth-child(23)"
"0302060 - Qalla e Dasht Rubat Girls School - 302060",24,"#pc > option:nth-child(24)"
"0303062 - Abdul Satar Shaheed High School - 303062",1,"#pc > option:nth-child(1)"
"0303066 - Sofi Khil Secondary School - 303066",2,"#pc > option:nth-child(2)"
"0303067 - Tafheem ul Quran School - 303067",3,"#pc > option:nth-child(3)"
"0303068 - Jan Fida Shaheed School - 303068",4,"#pc > option:nth-child(4)"
"0303069 - Mawlawi Yar Mohammad Madrassah - 303069",5,"#pc > option:nth-child(5)"
"0303172 - مکتب متوسطه نمک آب - 303172",6,"#pc > option:nth-child(6)"
"0304071 - Ancho Mosque - 304071",1,"#pc > option:nth-child(1)"
"0304072 - Abu Hanifah Ancho High School - 304072",2,"#pc > option:nth-child(2)"
"0304073 - Sehdukan Anchu Mosque - 304073",3,"#pc > option:nth-child(3)"
"0304074 - Imam Azam Aaqtash High School - 304074",4,"#pc > option:nth-child(4)"
"0304075 - Qazi Khil Girls High School - 304075",5,"#pc > option:nth-child(5)"
"0304076 - Sayed Khil Girls High School - 304076",6,"#pc > option:nth-child(6)"
"0304077 - Haibat Khil Girls High School - 304077",7,"#pc > option:nth-child(7)"
"0304078 - Gul Aqa Shaheed High School - 304078",8,"#pc > option:nth-child(8)"
"0304079 - Chainaki Payan Mosque and Ilhaqya - 304079",9,"#pc > option:nth-child(9)"
"0304080 - Abdul Qader Shaheed Secondary School - 304080",10,"#pc > option:nth-child(10)"
"0304081 - Chainaki Ulya Girls High School - 304081",11,"#pc > option:nth-child(11)"
"0304082 - Saiful Rahman Shaheed High School - 304082",12,"#pc > option:nth-child(12)"
"0304083 - Maazuddin Khil Clinic - 304083",13,"#pc > option:nth-child(13)"
"0304084 - Sayed Khil Darulhefaz - 304084",14,"#pc > option:nth-child(14)"
"0304085 - Lalah Khil Secondary School - 304085",15,"#pc > option:nth-child(15)"
"0304086 - Sayed Rahman Shaheed School - 304086",16,"#pc > option:nth-child(16)"
"0305087 - Mawlana Jalaluddin Mohammad Balkhi Girls Primary * - 305087",1,"#pc > option:nth-child(1)"
"0305088 - Malik Jan Khil Jame Mosque - 305088",2,"#pc > option:nth-child(2)"
"0305089 - Faqeer Haider Gulbahar High School - 305089",3,"#pc > option:nth-child(3)"
"0305090 - Eisa Khil Mosque - 305090",4,"#pc > option:nth-child(4)"
"0305091 - Nawya Mosque - 305091",5,"#pc > option:nth-child(5)"
"0305092 - Abdul Hadi Shaheed Secondary School - 305092",6,"#pc > option:nth-child(6)"
"0305093 - Gulbahar Darul Hefaz - 305093",7,"#pc > option:nth-child(7)"
"0305094 - Gulbahar Girls High School No. 1  - 305094",8,"#pc > option:nth-child(8)"
"0305095 - Ishq Abad Girls High School - 305095",9,"#pc > option:nth-child(9)"
"0305096 - Guzar e Payan Girls High School - 305096",10,"#pc > option:nth-child(10)"
"0305097 - Jablul Seraj Boys High School - 305097",11,"#pc > option:nth-child(11)"
"0305098 - Habib Khil Mosque - 305098",12,"#pc > option:nth-child(12)"
"0305099 - Khalil Zaman, Tapah e Surkh Secondary School - 305099",13,"#pc > option:nth-child(13)"
"0305100 - Zarbya High School - 305100",14,"#pc > option:nth-child(14)"
"0305101 - Ashabah Mosque - 305101",15,"#pc > option:nth-child(15)"
"0305102 - Abu Hanifa High School - 305102",16,"#pc > option:nth-child(16)"
"0305103 - Aahangaran Chap Qoul Jame Mosque - 305103",17,"#pc > option:nth-child(17)"
"0306104 - Eng. Mohammad Gul Shaheed Secondary School - 306104",1,"#pc > option:nth-child(1)"
"0306105 - Lalmi Sabzak Secondary School - 306105",2,"#pc > option:nth-child(2)"
"0306106 - Haji Abdul Karim Secondary School - 306106",3,"#pc > option:nth-child(3)"
"0306107 - Takhma High School - 306107",4,"#pc > option:nth-child(4)"
"0306108 - Salang Boys High School - 306108",5,"#pc > option:nth-child(5)"
"0306109 - Hunroh e Bala Secondary School - 306109",6,"#pc > option:nth-child(6)"
"0306110 - Ghulam Nabi Shaheed High School - 306110",7,"#pc > option:nth-child(7)"
"0306111 - Wewa Secondary School - 306111",8,"#pc > option:nth-child(8)"
"0306112 - Do Aab High School - 306112",9,"#pc > option:nth-child(9)"
"0306113 - Awlang School - 306113",10,"#pc > option:nth-child(10)"
"0306114 - Aahangaran High School - 306114",11,"#pc > option:nth-child(11)"
"0306115 - Salah Khan Secondary School - 306115",12,"#pc > option:nth-child(12)"
"0306116 - Awrti High School - 306116",13,"#pc > option:nth-child(13)"
"0307118 - Fanduqistan School - 307118",1,"#pc > option:nth-child(1)"
"0307119 - Hazrat Ali High School - 307119",2,"#pc > option:nth-child(2)"
"0307126 - Chahardeh High School - 307126",3,"#pc > option:nth-child(3)"
"0307127 - Faranjel High School - 307127",4,"#pc > option:nth-child(4)"
"0307129 - Do Aab Jame Mosque - 307129",5,"#pc > option:nth-child(5)"
"0307171 - لیسه اناث سیاه گرد - 307171",6,"#pc > option:nth-child(6)"
"0308136 - Dandar School - 308136",1,"#pc > option:nth-child(1)"
"0308137 - Syah Sang Secondary School - 308137",2,"#pc > option:nth-child(2)"
"0308138 - Iskandariah Boys High School - 308138",3,"#pc > option:nth-child(3)"
"0308139 - Shamal Khil Mosque - 308139",4,"#pc > option:nth-child(4)"
"0308140 - Treli Girls School - 308140",5,"#pc > option:nth-child(5)"
"0308141 - Ahmadzai Mosque - 308141",6,"#pc > option:nth-child(6)"
"0308142 - Mullah Ahmad Khil Mosque - 308142",7,"#pc > option:nth-child(7)"
"0308143 - Hasan Zai Mosque - 308143",8,"#pc > option:nth-child(8)"
"0308145 - Mullah Ahmad Khil School - 308145",9,"#pc > option:nth-child(9)"
"0309146 - Qatandar School - 309146",1,"#pc > option:nth-child(1)"
"0309147 - Shaheed Haqbeen Wand High School - 309147",2,"#pc > option:nth-child(2)"
"0309148 - Shaheed Amirzadah Madrassah - 309148",3,"#pc > option:nth-child(3)"
"0309149 - Khwaja Parsa School - 309149",4,"#pc > option:nth-child(4)"
"0309150 - Lawlanj Bazzar Girls High School - 309150",5,"#pc > option:nth-child(5)"
"0309151 - Hazrat Zainab Girls High School - 309151",6,"#pc > option:nth-child(6)"
"0309152 - Payurki School - 309152",7,"#pc > option:nth-child(7)"
"0309153 - Shaheed Ali Dost High School - 309153",8,"#pc > option:nth-child(8)"
"0309154 - Abdul Rouf Hujat Darul Uloom - 309154",9,"#pc > option:nth-child(9)"
"0309155 - Sheenah Jame Mosque - 309155",10,"#pc > option:nth-child(10)"
"0309156 - Shaheed Zulfiqar High School - 309156",11,"#pc > option:nth-child(11)"
"0309157 - Khidri High School - 309157",12,"#pc > option:nth-child(12)"
"0309158 - Dahan e Khakrez Boys High School - 309158",13,"#pc > option:nth-child(13)"
"0310159 - Member Pawaz - 310159",1,"#pc > option:nth-child(1)"
"0310160 - Babur Secondary School - 310160",2,"#pc > option:nth-child(2)"
"0310161 - Abu Baker Sedique High School - 310161",3,"#pc > option:nth-child(3)"
"0310162 - Ali Akbar Shaheed High School - 310162",4,"#pc > option:nth-child(4)"
"0310163 - Nawai High School - 310163",5,"#pc > option:nth-child(5)"
"0310164 - Mir Khushal Wali Jame Mosque - 310164",6,"#pc > option:nth-child(6)"
"0310165 - Hazrat Ali Secondary School - 310165",7,"#pc > option:nth-child(7)"
"0310166 - Dahan e Jarf High School - 310166",8,"#pc > option:nth-child(8)"
"0310167 - Darah e Jarf Girls Secondary School - 310167",9,"#pc > option:nth-child(9)"
"0310168 - Khaimah (tent) Dahan Botyan - 310168",10,"#pc > option:nth-child(10)"
"0310169 - Imam Mahdi Boys High School - 310169",11,"#pc > option:nth-child(11)"
"0310170 - Khiamah (tent) Pai Kotal - 310170",12,"#pc > option:nth-child(12)"
"0401001 - Awal Baba School - 401001",1,"#pc > option:nth-child(1)"
"0401002 - Tameer Sharwali (Municipality Building) - 401002",2,"#pc > option:nth-child(2)"
"0401003 - Naser Abad School - 401003",3,"#pc > option:nth-child(3)"
"0401007 - Ibrahim Khil High School - 401007",4,"#pc > option:nth-child(4)"
"0401008 - Khaimah (tent) Koh Ibrahim Khil - 401008",5,"#pc > option:nth-child(5)"
"0401009 - Pul E Surkh School - 401009",6,"#pc > option:nth-child(6)"
"0401010 - Charakah School - 401010",7,"#pc > option:nth-child(7)"
"0401012 - Rahman Khil Mosque - 401012",8,"#pc > option:nth-child(8)"
"0402022 - Karmo Khil Yak School - 402022",1,"#pc > option:nth-child(1)"
"0403030 - Shaheed Yaqoubi High School - 403030",1,"#pc > option:nth-child(1)"
"0403031 - Imam Mohammad Baqer High School - 403031",2,"#pc > option:nth-child(2)"
"0404043 - Kolak village Mosque - 404043",1,"#pc > option:nth-child(1)"
"0404045 - Panah Bazzar Mosque - 404045",2,"#pc > option:nth-child(2)"
"0404053 - Alah Sang School - 404053",3,"#pc > option:nth-child(3)"
"0405074 - Saed Abad High School - 405074",1,"#pc > option:nth-child(1)"
"0405085 - Dasht Toup High School - 405085",2,"#pc > option:nth-child(2)"
"0406101 - Block Hussaini School - 406101",1,"#pc > option:nth-child(1)"
"0406102 - Naqshband village Mosque - 406102",2,"#pc > option:nth-child(2)"
"0407103 - Sayed Taimoor village Mosque  - 407103",1,"#pc > option:nth-child(1)"
"0407104 - Teezak Clinic - 407104",2,"#pc > option:nth-child(2)"
"0407105 - Qarya e Payen Nuqat Mosque - 407105",3,"#pc > option:nth-child(3)"
"0407106 - Gardan Dewar High School - 407106",4,"#pc > option:nth-child(4)"
"0407107 - Dwalat Quli School - 407107",5,"#pc > option:nth-child(5)"
"0407108 - Ergeen Secondary School - 407108",6,"#pc > option:nth-child(6)"
"0407109 - Gerdi Mosque - 407109",7,"#pc > option:nth-child(7)"
"0407110 - Dahan Aabdarah Primary School - 407110",8,"#pc > option:nth-child(8)"
"0407111 - Syah Botah School - 407111",9,"#pc > option:nth-child(9)"
"0408118 - Kalan Deh Clinic - 408118",1,"#pc > option:nth-child(1)"
"0409123 - Band Botah School - 409123",1,"#pc > option:nth-child(1)"
"0409124 - Tagab Beermak School - 409124",2,"#pc > option:nth-child(2)"
"0409125 - Kamarak School - 409125",3,"#pc > option:nth-child(3)"
"0409126 - Tagab Zeerat Mosque - 409126",4,"#pc > option:nth-child(4)"
"0409127 - Qaraqul Madrassah - 409127",5,"#pc > option:nth-child(5)"
"0409128 - Babakah School - 409128",6,"#pc > option:nth-child(6)"
"0409129 - Dahan Awji High School - 409129",7,"#pc > option:nth-child(7)"
"0409130 - Kujab Ulya School - 409130",8,"#pc > option:nth-child(8)"
"0409131 - Mir Hazar Kujab High School - 409131",9,"#pc > option:nth-child(9)"
"0409132 - Imam Mohammad Baqer Darul Uloom - 409132",10,"#pc > option:nth-child(10)"
"0409133 - Bad Aasyab School - 409133",11,"#pc > option:nth-child(11)"
"0409134 - Sar Taalah School - 409134",12,"#pc > option:nth-child(12)"
"0409135 - Daranjoi Mosque - 409135",13,"#pc > option:nth-child(13)"
"0409136 - Shuhada High School - 409136",14,"#pc > option:nth-child(14)"
"0409137 - Husainia Umoomi Safid Dewar - 409137",15,"#pc > option:nth-child(15)"
"0409138 - Rashek School - 409138",16,"#pc > option:nth-child(16)"
"0409139 - Daman Khalil School - 409139",17,"#pc > option:nth-child(17)"
"0409140 - Marak High School - 409140",18,"#pc > option:nth-child(18)"
"0409141 - Raqul Boys High School - 409141",19,"#pc > option:nth-child(19)"
"0409142 - Aab Sherom School - 409142",20,"#pc > option:nth-child(20)"
"0409143 - Tagab Ramoz High School - 409143",21,"#pc > option:nth-child(21)"
"0409144 - Peetab Ramoz High School - 409144",22,"#pc > option:nth-child(22)"
"0409145 - Kotal Mullah Yaqoub School - 409145",23,"#pc > option:nth-child(23)"
"0409146 - Kardan Qadah Mosque - 409146",24,"#pc > option:nth-child(24)"
"0409147 - Jawad Jaria Khanah School - 409147",25,"#pc > option:nth-child(25)"
"0409148 - Sarbalaq School - 409148",26,"#pc > option:nth-child(26)"
"0409149 - Ghawas School - 409149",27,"#pc > option:nth-child(27)"
"0409150 - Dahan Sangeenak School - 409150",28,"#pc > option:nth-child(28)"
"0409151 - Barah Khanah School - 409151",29,"#pc > option:nth-child(29)"
"0409152 - Mahar Khanah School - 409152",30,"#pc > option:nth-child(30)"
"0409153 - Qalla Gardum Mosque - 409153",31,"#pc > option:nth-child(31)"
"0409154 - Nai Bolaq Ajam Mosque - 409154",32,"#pc > option:nth-child(32)"
"0409155 - Surkh Abad School - 409155",33,"#pc > option:nth-child(33)"
"0409156 - Hasht Darakht Madrassah - 409156",34,"#pc > option:nth-child(34)"
"0409157 - Kuhnah Qalla School - 409157",35,"#pc > option:nth-child(35)"
"0501001 - Srah Myasht Markaz (Red Cresent Center) - 501001",1,"#pc > option:nth-child(1)"
"0501002 - Omer Farouq High School - 501002",2,"#pc > option:nth-child(2)"
"0501003 - Hesarak Secondary School - 501003",3,"#pc > option:nth-child(3)"
"0501006 - Pad Khwab e Shanah Secondary School - 501006",4,"#pc > option:nth-child(4)"
"0501007 - Pas e Karez School - 501007",5,"#pc > option:nth-child(5)"
"0501008 - Al Tamoor Secondary School - 501008",6,"#pc > option:nth-child(6)"
"0501010 - Pashtoon Abad Mosque - 501010",7,"#pc > option:nth-child(7)"
"0501011 - Aabchakan School - 501011",8,"#pc > option:nth-child(8)"
"0501012 - Shahrak Muhajereen Clinic - 501012",9,"#pc > option:nth-child(9)"
"0501014 - Poorak School - 501014",10,"#pc > option:nth-child(10)"
"0501017 - Jihadi Kulangar High School - 501017",11,"#pc > option:nth-child(11)"
"0501018 - Kamidan Girls High School - 501018",12,"#pc > option:nth-child(12)"
"0501001 - Srah Myasht Markaz (Red Cresent Center) - 501001",1,"#pc > option:nth-child(1)"
"0501002 - Omer Farouq High School - 501002",2,"#pc > option:nth-child(2)"
"0501003 - Hesarak Secondary School - 501003",3,"#pc > option:nth-child(3)"
"0501006 - Pad Khwab e Shanah Secondary School - 501006",4,"#pc > option:nth-child(4)"
"0501007 - Pas e Karez School - 501007",5,"#pc > option:nth-child(5)"
"0501008 - Al Tamoor Secondary School - 501008",6,"#pc > option:nth-child(6)"
"0501010 - Pashtoon Abad Mosque - 501010",7,"#pc > option:nth-child(7)"
"0501011 - Aabchakan School - 501011",8,"#pc > option:nth-child(8)"
"0501012 - Shahrak Muhajereen Clinic - 501012",9,"#pc > option:nth-child(9)"
"0501014 - Poorak School - 501014",10,"#pc > option:nth-child(10)"
"0501017 - Jihadi Kulangar High School - 501017",11,"#pc > option:nth-child(11)"
"0501018 - Kamidan Girls High School - 501018",12,"#pc > option:nth-child(12)"
"0502030 - Ghazi Amanullah High School - 502030",1,"#pc > option:nth-child(1)"
"0502031 - Baraki Rajan High School - 502031",2,"#pc > option:nth-child(2)"
"0502032 - Zahqoom Khil School - 502032",3,"#pc > option:nth-child(3)"
"0503044 - Dabar School - 503044",1,"#pc > option:nth-child(1)"
"0504045 - Do bandi School - 504045",1,"#pc > option:nth-child(1)"
"0504048 - Khoshi High School and Myanah Deh Girls School - 504048",2,"#pc > option:nth-child(2)"
"0505050 - Surkhab School - 505050",1,"#pc > option:nth-child(1)"
"0505055 - Safed Sang School - 505055",2,"#pc > option:nth-child(2)"
"0505056 - Gumaran School - 505056",3,"#pc > option:nth-child(3)"
"0505057 - Mohammad Jan Khan School - 505057",4,"#pc > option:nth-child(4)"
"0505060 - Mohammad Agha High School - 505060",5,"#pc > option:nth-child(5)"
"0505062 - Old Building of the District Administrator - 505062",6,"#pc > option:nth-child(6)"
"0505063 - Surkh Abad Girls Secondary School - 505063",7,"#pc > option:nth-child(7)"
"0505065 - Aqab Bazar Mosque - 505065",8,"#pc > option:nth-child(8)"
"0505067 - Mughul Khil Girls School - 505067",9,"#pc > option:nth-child(9)"
"0506068 - Khwajah Angor School - 506068",1,"#pc > option:nth-child(1)"
"0507078 - Chotra School - 507078",1,"#pc > option:nth-child(1)"
"0507080 - Akbar Khil Girls and Boys School - 507080",2,"#pc > option:nth-child(2)"
"0507081 - Babar School - 507081",3,"#pc > option:nth-child(3)"
"0602048 - Gardeks Primary School - 602048",1,"#pc > option:nth-child(1)"
"0602049 - Samar Khil School - 602049",2,"#pc > option:nth-child(2)"
"0602050 - Saracha Ali Khan Boys High School - 602050",3,"#pc > option:nth-child(3)"
"0602051 - Karez Kabir High School - 602051",4,"#pc > option:nth-child(4)"
"0602052 - Hadah School - 602052",5,"#pc > option:nth-child(5)"
"0602053 - Wazir Mohammad Gul Khan High School - 602053",6,"#pc > option:nth-child(6)"
"0602054 - Shaheed Sardar Mohammad Daoud Khan High School - 602054",7,"#pc > option:nth-child(7)"
"0602055 - Haji Haleem Mosque - 602055",8,"#pc > option:nth-child(8)"
"0602056 - Haji Hafeez Mosque - 602056",9,"#pc > option:nth-child(9)"
"0602057 - Mohammadi Sahibzadah High School - 602057",10,"#pc > option:nth-child(10)"
"0602058 - Hazrat Abu Baker High School - 602058",11,"#pc > option:nth-child(11)"
"0602059 - Qalla e Malakh School - 602059",12,"#pc > option:nth-child(12)"
"0602060 - Banda Jomat Mosque - 602060",13,"#pc > option:nth-child(13)"
"0602061 - Haji Sarbiland Khan School - 602061",14,"#pc > option:nth-child(14)"
"0602062 - Shaheed Malang Jan High School - 602062",15,"#pc > option:nth-child(15)"
"0602063 - Wach Tangi High School - 602063",16,"#pc > option:nth-child(16)"
"0602064 - Baher Abad High School - 602064",17,"#pc > option:nth-child(17)"
"0602065 - Janan Khan High School - 602065",18,"#pc > option:nth-child(18)"
"0602066 - Daman Mosque - 602066",19,"#pc > option:nth-child(19)"
"0602067 - Behsoud Agriculture Cooperative - 602067",20,"#pc > option:nth-child(20)"
"0602068 - Nahid Shaheed School - 602068",21,"#pc > option:nth-child(21)"
"0602069 - Zangoyee School - 602069",22,"#pc > option:nth-child(22)"
"0603070 - Syah Sang Secondary School - 603070",1,"#pc > option:nth-child(1)"
"0603071 - Abu Baker Sedique Jame Mosque - 603071",2,"#pc > option:nth-child(2)"
"0603072 - Gandah Chashmah Mosque - 603072",3,"#pc > option:nth-child(3)"
"0603073 - Koz Shiekh Mesri Clinic - 603073",4,"#pc > option:nth-child(4)"
"0603074 - Da Ghochako High School - 603074",5,"#pc > option:nth-child(5)"
"0603075 - Lal Qasem Agha Secondary School - 603075",6,"#pc > option:nth-child(6)"
"0603076 - Chaknoori Mosque - 603076",7,"#pc > option:nth-child(7)"
"0603077 - Afghan Mena Secondry School - 603077",8,"#pc > option:nth-child(8)"
"0603078 - Directorate of the Mines Industries - 603078",9,"#pc > option:nth-child(9)"
"0603079 - Bakhtan Clinic - 603079",10,"#pc > option:nth-child(10)"
"0603080 - Reyasat Kanan - 603080",11,"#pc > option:nth-child(11)"
"0603081 - Charbagh School - 603081",12,"#pc > option:nth-child(12)"
"0603082 - Peer Said Hasan Gailani High School - 603082",13,"#pc > option:nth-child(13)"
"0603083 - Amarkhil School - 603083",14,"#pc > option:nth-child(14)"
"0603084 - Bibi Mariam School - 603084",15,"#pc > option:nth-child(15)"
"0603085 - Shaheed Mohammad Ashraf Girls High School - 603085",16,"#pc > option:nth-child(16)"
"0603086 - Qazi Fazel Mahmoud Primary School - 603086",17,"#pc > option:nth-child(17)"
"0603087 - Faqrullah High School - 603087",18,"#pc > option:nth-child(18)"
"0603088 - Girls High School - 603088",19,"#pc > option:nth-child(19)"
"0603089 -  Jame Mosque - 603089",20,"#pc > option:nth-child(20)"
"0603090 - Nazaneen Jabarkhil Girls and Boys High School - 603090",21,"#pc > option:nth-child(21)"
"0603091 - Hazrat Bilal Jame Mosque - 603091",22,"#pc > option:nth-child(22)"
"0603092 - Shamspour Girls High School - 603092",23,"#pc > option:nth-child(23)"
"0603093 - Sultan Pour Mosque - 603093",24,"#pc > option:nth-child(24)"
"0603094 - Abu Baker Sedique Jame Mosque - 603094",25,"#pc > option:nth-child(25)"
"0603095 - Koshkak Girls High School - 603095",26,"#pc > option:nth-child(26)"
"0603096 - Koz Fateh Abad School - 603096",27,"#pc > option:nth-child(27)"
"0603098 - Fateh Abad School - 603098",28,"#pc > option:nth-child(28)"
"0604101 - Manno High School - 604101",1,"#pc > option:nth-child(1)"
"0604102 - Sangeenah School - 604102",2,"#pc > option:nth-child(2)"
"0604104 - Gratak School - 604104",3,"#pc > option:nth-child(3)"
"0604105 - Saparai Secondary School - 604105",4,"#pc > option:nth-child(4)"
"0604106 - Speen Jumat Mosque - 604106",5,"#pc > option:nth-child(5)"
"0604107 - Bando School - 604107",6,"#pc > option:nth-child(6)"
"0604108 - Karez Jame Mosque - 604108",7,"#pc > option:nth-child(7)"
"0604109 - Hafezano Kalai School - 604109",8,"#pc > option:nth-child(8)"
"0604110 - Kundi Bagh School - 604110",9,"#pc > option:nth-child(9)"
"0604111 - Secondary School - 604111",10,"#pc > option:nth-child(10)"
"0604112 - Haji Malouk Mosque - 604112",11,"#pc > option:nth-child(11)"
"0604113 - Mullah Sahib Mosque - 604113",12,"#pc > option:nth-child(12)"
"0604114 - Tereli School - 604114",13,"#pc > option:nth-child(13)"
"0604115 - Ghulam Daag School - 604115",14,"#pc > option:nth-child(14)"
"0604116 - Lalma School - 604116",15,"#pc > option:nth-child(15)"
"0604117 - Itefaq School - 604117",16,"#pc > option:nth-child(16)"
"0604118 -  Dawlat Zai Family Jame Mosque - 604118",17,"#pc > option:nth-child(17)"
"0604119 -  Kochi Dawlat Abad Secondary School - 604119",18,"#pc > option:nth-child(18)"
"0604120 -  Salozai School - 604120",19,"#pc > option:nth-child(19)"
"0604121 -  Paterai School - 604121",20,"#pc > option:nth-child(20)"
"0605122 -  Zakhil Mosque - 605122",1,"#pc > option:nth-child(1)"
"0605123 -  Clinic - 605123",2,"#pc > option:nth-child(2)"
"0605124 -  Qalla e Akhund High School - 605124",3,"#pc > option:nth-child(3)"
"0605125 -  Darman School - 605125",4,"#pc > option:nth-child(4)"
"0605126 -  Hazrat Omer Farouq Jame Mosque - 605126",5,"#pc > option:nth-child(5)"
"0605127 -  Hazar Baig School - 605127",6,"#pc > option:nth-child(6)"
"0605128 -  Shaheed Khudai Dost School - 605128",7,"#pc > option:nth-child(7)"
"0605129 -  Murad Ali High School - 605129",8,"#pc > option:nth-child(8)"
"0605130 -  School - 605130",9,"#pc > option:nth-child(9)"
"0605131 -  Sangar Sarai Clinic - 605131",10,"#pc > option:nth-child(10)"
"0605132 -  Sayed Sarwar Qaderi High School - 605132",11,"#pc > option:nth-child(11)"
"0605133 -  Mirza Khil School - 605133",12,"#pc > option:nth-child(12)"
"0605134 -  Nader Khan Momand School - 605134",13,"#pc > option:nth-child(13)"
"0605135 -  Totakai Mosque - 605135",14,"#pc > option:nth-child(14)"
"0605136 -  Mama Khilo High School - 605136",15,"#pc > option:nth-child(15)"
"0605137 -  Mama Khil Mosque - 605137",16,"#pc > option:nth-child(16)"
"0605138 -  Bazidkhil Mosque - 605138",17,"#pc > option:nth-child(17)"
"0605139 -  Sapedari Mosque - 605139",18,"#pc > option:nth-child(18)"
"0605140 -  Mawlawi Ibrahim Kamawi School - 605140",19,"#pc > option:nth-child(19)"
"0605141 -  Landa Boch Clinic - 605141",20,"#pc > option:nth-child(20)"
"0605142 -  Mohammad Musa Shafeeq High School - 605142",21,"#pc > option:nth-child(21)"
"0605143 -  Sher Garr High School - 605143",22,"#pc > option:nth-child(22)"
"0605144 -  Darbung School - 605144",23,"#pc > option:nth-child(23)"
"0605145 -  Da Kochi Kali Jame Mosque - 605145",24,"#pc > option:nth-child(24)"
"0605146 -  Malik Sherren Dil School - 605146",25,"#pc > option:nth-child(25)"
"0605147 -  Deh Ghazi School - 605147",26,"#pc > option:nth-child(26)"
"0606148 -  Sarkund School - 606148",1,"#pc > option:nth-child(1)"
"0606149 -  Bar Kash Kot School - 606149",2,"#pc > option:nth-child(2)"
"0606150 -  Koz Kash Kot Girls School - 606150",3,"#pc > option:nth-child(3)"
"0606151 -  Goreek School - 606151",4,"#pc > option:nth-child(4)"
"0606152 -  Goreek Mosque - 606152",5,"#pc > option:nth-child(5)"
"0606153 -  Pachahi Qalla Mosque - 606153",6,"#pc > option:nth-child(6)"
"0606154 -  Islam Pour Village Mosque - 606154",7,"#pc > option:nth-child(7)"
"0606155 -  Bodialai village Girls School - 606155",8,"#pc > option:nth-child(8)"
"0606156 -  Sourach Jame Mosque - 606156",9,"#pc > option:nth-child(9)"
"0606157 -  Sarjal Madrassah - 606157",10,"#pc > option:nth-child(10)"
"0606158 -  Tawkal Baba High School - 606158",11,"#pc > option:nth-child(11)"
"0606159 -  Markaz Khewah central Mosque - 606159",12,"#pc > option:nth-child(12)"
"0606160 -  Zaragaran village Mosque - 606160",13,"#pc > option:nth-child(13)"
"0606161 -  Qalla Tak Marakazi Mosque - 606161",14,"#pc > option:nth-child(14)"
"0606162 -  Boys School - 606162",15,"#pc > option:nth-child(15)"
"0606163 -  Shamil Kali Mosque - 606163",16,"#pc > option:nth-child(16)"
"0606164 -  Gambeeri School - 606164",17,"#pc > option:nth-child(17)"
"0606165 -  Bazarak Mosque - 606165",18,"#pc > option:nth-child(18)"
"0606166 -  Sayed Jamaluddin Afghan High School - 606166",19,"#pc > option:nth-child(19)"
"0606167 -  Kachrra School - 606167",20,"#pc > option:nth-child(20)"
"0606168 -  Shiekhan Girls School - 606168",21,"#pc > option:nth-child(21)"
"0606169 -  Yaseen Baba Girls High School - 606169",22,"#pc > option:nth-child(22)"
"0606170 -  Sayed Abad School - 606170",23,"#pc > option:nth-child(23)"
"0606171 -  Adel Khil Girls High School - 606171",24,"#pc > option:nth-child(24)"
"0606172 -  Koz Koti Mosque - 606172",25,"#pc > option:nth-child(25)"
"0607173 -  Mazeenah Mosque - 607173",1,"#pc > option:nth-child(1)"
"0607174 -  Hesarak Mazeeni High School - 607174",2,"#pc > option:nth-child(2)"
"0607175 -  Qallah Meerji Mosque - 607175",3,"#pc > option:nth-child(3)"
"0607176 -  Kadi Jomat Mosque - 607176",4,"#pc > option:nth-child(4)"
"0607177 -  Da Roghano School - 607177",5,"#pc > option:nth-child(5)"
"0607178 -  Ihdad Primary School - 607178",6,"#pc > option:nth-child(6)"
