"province_code","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital"
"07","0710","SURUBI PAKTIKA","سروبی","0710","SURUBI PAKTIKA","سروبی","NO"
"07","0711","URGOON","ارگون","0711","URGOON","ارگون","NO"
"07","0712","ZIROK","زيروک","0712","ZIROK","زيروک","NO"
"07","0713","NIKA","نيکه","0713","NIKA","نيکه","NO"
"07","0714","DELA","ديله وخوشامند","0714","DELA","ديله وخوشامند","NO"
"07","0715","WAZAKHWA","وازه خواه","0715","WAZAKHWA","وازه خواه","NO"
"07","0716","TURWU","تروو","0716","TURWU","تروو","NO"
"07","0717","WARMAMAI","ورممی","0717","WARMAMAI","ورممی","NO"
"07","0718","BARMAL","برمل","0718","BARMAL","برمل","NO"
"07","0719","GAYAN","گيان","0719","GAYAN","گيان","NO"
"08","0801"," GARDEIZ","مرکز پکتيا ‐ گرديز","0801"," GARDEIZ","مرکز پکتيا ‐ گرديز","YES"
"08","0802","SAID KARAM","سيد کرم","0802","SAID KARAM","سيد کرم","NO"
"08","0803","ZURMAT","زرمت","0803","ZURMAT","زرمت","NO"
"08","0804","SHAWAK","شواک","0804","SHAWAK","شواک","NO"
"08","0805","WAZA ZADRAN","وزه حًدران","0805","WAZA ZADRAN","وزه حًدران","NO"
"08","0806","LAJA AHMAD KHEIL","لجه احمد خيل","0806","LAJA AHMAD KHEIL","لجه احمد خيل","NO"
"08","0807","JANI KHEIL PAKTIA","جانی خيل","0807","JANI KHEIL PAKTIA","جانی خيل","NO"
"08","0808","DAND PATAN","دند پتان","0808","DAND PATAN","دند پتان","NO"
"08","0809","SAMKANAI","حمکنی","0809","SAMKANAI","حمکنی","NO"
"08","0810","JAJI","جاجی","0810","JAJI","جاجی","NO"
"08","0811","AHMAD ABAD","احمدآباء","0811","AHMAD ABAD","احمدآباء","NO"
"09","0901"," KHOST","مرکزخوست ‐ خوست","0901"," KHOST","مرکزخوست ‐ خوست","YES"
"09","0902","TERZAYI","عليشير","0902","TERZAYI","عليشير","NO"
"09","0903","BAK","باک","0903","BAK","باک","NO"
"09","0904","JAJI MAIDAN","جاجی ميدان","0904","JAJI MAIDAN","جاجی ميدان","NO"
"09","0905","SABARI","صبری )يعقوبی(","0905","SABARI","صبری )يعقوبی(","NO"
"09","0906","MUSA KHEIL","موسی خيل","0906","MUSA KHEIL","موسی خيل","NO"
"09","0907","QALANDER","قلندر","0907","QALANDER","قلندر","NO"
"09","0908","NADERSHAH KOTT","نادرشاه کوت","0908","NADERSHAH KOTT","نادرشاه کوت","NO"
"09","0909","MANDOZAYI","مندوزی )اسمعيل خيل(","0909","MANDOZAYI","مندوزی )اسمعيل خيل(","NO"
"09","0910","SHEMAL","شمل","0910","SHEMAL","شمل","NO"
"09","0911","ESPERA","سپيره","0911","ESPERA","سپيره","NO"
"09","0912","TANAI","تنی","0912","TANAI","تنی","NO"
"09","0913","GURBUZ","گربز","0913","GURBUZ","گربز","NO"
"10","1001"," JALALABAD ","جلال اباد ) مرکز(","1001"," JALALABAD ","جلال اباد ) مرکز(","YES"
"10","1002","BEHSOOD","بھسود","1002","BEHSOOD","بھسود","NO"
"10","1003","SURKHROD","سرخرود","1003","SURKHROD","سرخرود","NO"
"10","1004","CHIPERHAR","چپرھار","1004","CHIPERHAR","چپرھار","NO"
"10","1005","RODAT","رودات","1005","RODAT","رودات","NO"
"10","1006","KAMA","کامه","1006","KAMA","کامه","NO"
"10","1007","KOOZ KONAR","کوزکنر","1007","KOOZ KONAR","کوزکنر","NO"
"10","1008","DARAH NOOR","دره نور","1008","DARAH NOOR","دره نور","NO"
"10","1009","SHIRZAD","شيرزاد","1009","SHIRZAD","شيرزاد","NO"
"10","1010","HESARAK","حصارک","1010","HESARAK","حصارک","NO"
"10","1011","KHOGYANI","خوگيانی","1011","KHOGYANI","خوگيانی","NO"
"10","1012","PACHAR WAGAM","پچيرواگام","1012","PACHAR WAGAM","پچيرواگام","NO"
"10","1013","DAHBALA","ده بالا","1013","DAHBALA","ده بالا","NO"
"10","1014","KOTT","کوت","1014","KOTT","کوت","NO"
"10","1015","ACHIN","اچين","1015","ACHIN","اچين","NO"
"10","1016","NAZYAN","نازيان","1016","NAZYAN","نازيان","NO"
"10","1017","DUR BABA","دربابا","1017","DUR BABA","دربابا","NO"
"10","1018","SHENWAR","شينوار","1018","SHENWAR","شينوار","NO"
"10","1019","BATI KOT","بتی کوت","1019","BATI KOT","بتی کوت","NO"
"10","1020","MUHMAND DARA","مھمنددره","1020","MUHMAND DARA","مھمنددره","NO"
"10","1021","GOSHTA","گوشته","1021","GOSHTA","گوشته","NO"
"10","1022","LALPOOR","لعل پور","1022","LALPOOR","لعل پور","NO"
"11","1101"," ASAD ABAD","مرکزکنرھا ‐ اسعدآباد","1101"," ASAD ABAD","مرکزکنرھا ‐ اسعدآباد","YES"
"11","1102","WATAPOOR","وته پور","1102","WATAPOOR","وته پور","NO"
"11","1103","DAREH PEICH","دره پيچ","1103","DAREH PEICH","دره پيچ","NO"
"11","1104","NARANG WA BADIL TARANGO BADIL","نرنگ وباديل","1104","NARANG WA BADIL TARANGO BADIL","نرنگ وباديل","NO"
"11","1105","SAR KANI","سرکانی","1105","SAR KANI","سرکانی","NO"
"11","1106","MURWARA","مروره","1106","MURWARA","مروره","NO"
"11","1107","DANGAM","دانگام","1107","DANGAM","دانگام","NO"
"11","1108","BAR KUNAR","برکنر","1108","BAR KUNAR","برکنر","NO"
"11","1109","SHIGAL‐WA‐SHELTAN","شيگل وشلتن","1109","SHIGAL‐WA‐SHELTAN","شيگل وشلتن","NO"
"11","1110","CHAPA DARA","چپه دره","1110","CHAPA DARA","چپه دره","NO"
"11","1111","NOOR GOOL","نورگل","1111","NOOR GOOL","نورگل","NO"
"11","1112","CHAWKI","حوکی","1112","CHAWKI","حوکی","NO"
"11","1113","KHAS KUNAR","خاص کنر","1113","KHAS KUNAR","خاص کنر","NO"
"11","1114","NARAI","نرئی","1114","NARAI","نرئی","NO"
"11","1115","GHAZI ABAD","غازی آباد","1115","GHAZI ABAD","غازی آباد","NO"
"12","1201"," MEHTERLAM","مرکزلغمان ‐ مھترلام","1201"," MEHTERLAM","مرکزلغمان ‐ مھترلام","YES"
"12","1202","QARGHAI","قرغه ئی","1202","QARGHAI","قرغه ئی","NO"
"12","1203","ALINGAR","علينگار","1203","ALINGAR","علينگار","NO"
"12","1204","ALISHING","عليشنگ","1204","ALISHING","عليشنگ","NO"
"12","1205","DAWLAT SHAH","دولت شاه","1205","DAWLAT SHAH","دولت شاه","NO"
"13","1301"," NOORISTAN","مرکز نورستان ‐ پارون","1301"," NOORISTAN","مرکز نورستان ‐ پارون","YES"
"13","1302","NOOR GRAM","نورگرام","1302","NOOR GRAM","نورگرام","NO"
"13","1303","DUABA","دوآب","1303","DUABA","دوآب","NO"
"13","1304","WAIGAL","وايگل","1304","WAIGAL","وايگل","NO"
"13","1305","WAMA","واما","1305","WAMA","واما","NO"
"13","1306","MONDAWEL","مندول","1306","MONDAWEL","مندول","NO"
"13","1307","KAMDESH","کامديش","1307","KAMDESH","کامديش","NO"
"13","1308","BARGUMTAL","برگ متال","1308","BARGUMTAL","برگ متال","NO"
"14","1401","FAIZ ABAD","مرکزبدخشان - فيض آباد","1401","FAIZ ABAD","مرکزبدخشان - فيض آباد","YES"
"14","1402","YAFTAL PAYAN","يفتل سفلی","1402","YAFTAL PAYAN","يفتل سفلی","NO"
"14","1403","URGO","ارگو","1403","URGO","ارگو","NO"
