"province_code","province_name_eng","province_name_dari","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital","pc_code","pc_name_eng","pc_name_dari","prelim_results_reporting","final_results_reporting","ps_planned_count","ps_prelim_reporting_count","ps_final_reporting_count","ps_male","ps_fem","ps_kuchi","est_voters","access_notes"
"01","KABUL","کابل","0101","KABUL","کابل","0101-04","KABUL NAHIA 04","کابل ناحيه 04","YES","0101049","charahi sadarat,malalay girls school","چھار راھي صدارت, ليسه نسوان ملالي","YES","YES",9,9,9,6,3,0,4800,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-04","KABUL NAHIA 04","کابل ناحيه 04","YES","0101050","charahi taymani,tajoor sultana girl high school","چھار راھي تايمني, ليسه نسوان تاجور سلطانه","YES","YES",13,13,13,8,3,2,7500,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-04","KABUL NAHIA 04","کابل ناحيه 04","YES","0101051","charahi taymani,jamaat khana ismayalya","چھار راھي تايمني, جماعت خانه اسماعيليه","YES","YES",8,8,8,5,3,0,4500,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-04","KABUL NAHIA 04","کابل ناحيه 04","YES","0101052","Manochehrey Female school, Charahi Taimani","مکتب نسوان منوچھری، چاراھی تايمنی","YES","YES",4,4,4,2,2,0,2000,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-04","KABUL NAHIA 04","کابل ناحيه 04","YES","0101053","charahi taymani,nasir khisrow sacandry school","چھار راھي تايمني, مکتب متوسطه ناصر خسرو بلخي","YES","YES",12,12,12,8,4,0,7200,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-04","KABUL NAHIA 04","کابل ناحيه 04","YES","0101054","karti parwan,rabya high school","کارته پروان, ليسه رابيا","YES","YES",10,10,10,6,4,0,5700,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-04","KABUL NAHIA 04","کابل ناحيه 04","YES","0101055","karti parwan,ghaziayob no2 sacandry school","مکتب متوسطه نمبر 2 غازی ايوب، کارته پروان","YES","YES",7,7,7,4,3,0,3800,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-04","KABUL NAHIA 04","کابل ناحيه 04","YES","0101056","karti parwan,wazir muhammad akbarkhan sacandry school","کارته پروان, مکتب متوسطه وزير محمد اکبر خان","YES","YES",7,7,7,4,3,0,3800,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-04","KABUL NAHIA 04","کابل ناحيه 04","YES","0101057","karti parwan,baba Nanak high school","کارته پروان, ليسه بابه نانک","YES","YES",8,8,8,5,3,0,4400,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-04","KABUL NAHIA 04","کابل ناحيه 04","YES","0101058","karti parwan, nadria high school","کارته پروان, ليسه نادريه","YES","YES",8,8,8,5,3,0,4800,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-04","KABUL NAHIA 04","کابل ناحيه 04","YES","0101059","kolola pushta,imamrazay gharib masque","کلوله پشته, مسجد امام رضاي غريب","YES","YES",9,9,9,6,3,0,5300,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-04","KABUL NAHIA 04","کابل ناحيه 04","YES","0101060","now abad dehkipak,now abad dikipak sacandry sch","نو آباد ده کيپک, مکتب متوسطه نوآباد ده کيپک","YES","YES",10,10,10,5,3,2,5800,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-04","KABUL NAHIA 04","کابل ناحيه 04","YES","0101061","parozha wazir abad,kadakistan no 1","پروژه وزير آباد, کودکستان نمبر١","YES","YES",5,5,5,3,2,0,2900,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-04","KABUL NAHIA 04","کابل ناحيه 04","YES","0101062","parozha taymani,malaka suraya girls school","پروژه تايمني, مکتب نسوان ملکه سريا","YES","YES",12,12,12,8,4,0,7200,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-04","KABUL NAHIA 04","کابل ناحيه 04","YES","0101063","salang,jamhooriat high school","سالنگ, ليسه جمھوريت","YES","YES",7,7,7,4,3,0,3900,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-04","KABUL NAHIA 04","کابل ناحيه 04","YES","0101064","shahrak police,mahmood sediq farhang sacandary school","شھرک پوليس, مکتب متوسطه محمود صديق فرھنگ","YES","YES",10,9,9,6,4,0,5600,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-04","KABUL NAHIA 04","کابل ناحيه 04","YES","0101065","shahrara,muhammad alam faizad high school","شھرارا, ليسه محمد علم فيض زاد","YES","YES",8,8,8,5,3,0,4800,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-04","KABUL NAHIA 04","کابل ناحيه 04","YES","0101066","shahrara,haaji ghulam dastagir masque","شھرارا, مسجد حاجي غلام دستگير","YES","YES",6,6,6,4,2,0,2900,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-04","KABUL NAHIA 04","کابل ناحيه 04","YES","0101067","shahri now,khwaja ali mowfaq masque","شھر نو, مسجد خواجه علي موفق","YES","YES",4,4,4,2,2,0,2000,NA
