pc_code,ps_code,ps_type,vr_final_total_19
605143,0605143-04,M,292
605143,0605143-05,M,291
605143,0605143-06,F,400
605143,0605143-07,F,392
605143,0605143-08,F,392
605144,0605144-01,M,296
605144,0605144-02,M,295
605144,0605144-03,F,400
605144,0605144-04,F,387
605144,0605144-05,F,386
605145,0605145-01,M,297
605145,0605145-02,M,296
605145,0605145-03,F,292
605145,0605145-04,F,292
605146,0605146-01,M,400
605146,0605146-02,M,400
605146,0605146-03,M,400
605146,0605146-04,M,293
605146,0605146-05,M,292
605146,0605146-06,F,400
605146,0605146-07,F,383
605146,0605146-08,F,383
605147,0605147-01,M,400
605147,0605147-02,M,400
605147,0605147-03,M,400
605147,0605147-04,M,282
605147,0605147-05,M,282
605147,0605147-06,F,293
605147,0605147-07,F,293
606148,0606148-01,M,341
606148,0606148-02,M,341
606148,0606148-03,F,274
606148,0606148-04,F,274
606149,0606149-01,M,400
606149,0606149-02,M,314
606149,0606149-03,M,313
606149,0606149-04,F,361
606149,0606149-05,F,361
606150,0606150-01,M,400
606150,0606150-02,M,400
606150,0606150-03,M,348
606150,0606150-04,M,347
606150,0606150-05,F,400
606150,0606150-06,F,389
606150,0606150-07,F,388
606151,0606151-01,M,400
606151,0606151-02,M,352
606151,0606151-03,M,351
606151,0606151-04,F,339
606152,0606152-01,M,363
606152,0606152-02,F,244
606152,0606152-03,F,244
606153,0606153-01,M,244
606153,0606153-02,M,243
606153,0606153-03,F,388
606154,0606154-01,M,400
606154,0606154-02,M,386
606154,0606154-03,M,385
606154,0606154-04,F,307
606154,0606154-05,F,306
606155,0606155-01,M,400
606155,0606155-02,M,400
606155,0606155-03,M,400
606155,0606155-04,F,400
606155,0606155-05,F,383
606155,0606155-06,F,382
606156,0606156-01,M,296
606156,0606156-02,M,295
606156,0606156-03,F,2
606157,0606157-01,M,201
606157,0606157-02,M,201
606157,0606157-03,F,172
606158,0606158-01,M,400
606158,0606158-02,M,339
606158,0606158-03,M,339
606158,0606158-04,F,225
606158,0606158-05,F,224
606159,0606159-01,M,400
606159,0606159-02,M,400
606159,0606159-03,M,400
606159,0606159-04,M,274
606159,0606159-05,M,273
606159,0606159-06,F,362
606159,0606159-07,F,361
606160,0606160-01,M,282
606160,0606160-02,M,281
606160,0606160-03,F,287
606161,0606161-01,M,400
606161,0606161-02,M,204
606161,0606161-03,M,204
606161,0606161-04,F,278
606161,0606161-05,F,278
606162,0606162-01,M,400
606162,0606162-02,M,314
606162,0606162-03,M,313
606162,0606162-04,F,369
606163,0606163-01,M,204
606163,0606163-02,M,204
606163,0606163-03,F,192
606164,0606164-01,M,400
606164,0606164-02,M,323
606164,0606164-03,M,322
606164,0606164-04,F,121
606165,0606165-01,M,396
606165,0606165-02,M,396
606165,0606165-03,F,288
606165,0606165-04,F,288
606166,0606166-01,M,400
606166,0606166-02,M,353
606166,0606166-03,M,353
606166,0606166-04,F,307
606166,0606166-05,F,307
606167,0606167-01,M,400
606167,0606167-02,M,331
606167,0606167-03,M,331
606167,0606167-04,F,220
606167,0606167-05,F,220
606168,0606168-01,M,400
606168,0606168-02,M,365
606168,0606168-03,M,364
606168,0606168-04,F,397
606168,0606168-05,F,396
606169,0606169-01,M,400
606169,0606169-02,M,400
606169,0606169-03,M,375
606169,0606169-04,M,375
606169,0606169-05,F,400
606169,0606169-06,F,375
606169,0606169-07,F,375
606170,0606170-01,M,400
606170,0606170-02,M,318
606170,0606170-03,M,317
606170,0606170-04,F,261
606170,0606170-05,F,261
606171,0606171-01,M,400
606171,0606171-02,M,327
606171,0606171-03,M,327
606171,0606171-04,F,288
606171,0606171-05,F,288
606172,0606172-01,M,400
606172,0606172-02,M,392
606172,0606172-03,M,391
606172,0606172-04,F,352
606172,0606172-05,F,352
607173,0607173-01,M,400
607173,0607173-02,M,400
607173,0607173-03,M,400
607173,0607173-04,F,286
607173,0607173-05,F,285
607174,0607174-01,M,400
607174,0607174-02,M,400
607174,0607174-03,M,245
607174,0607174-04,M,244
607174,0607174-05,F,292
607174,0607174-06,F,292
607175,0607175-01,M,400
607175,0607175-02,M,400
607175,0607175-03,M,216
607175,0607175-04,M,215
607175,0607175-05,F,276
607175,0607175-06,F,276
607176,0607176-01,M,396
607176,0607176-02,M,396
607176,0607176-03,F,400
607176,0607176-04,F,400
607176,0607176-05,F,308
607176,0607176-06,F,308
607177,0607177-01,M,400
607177,0607177-02,M,400
607177,0607177-03,M,400
607177,0607177-04,M,400
607177,0607177-05,M,255
607177,0607177-06,M,255
607177,0607177-07,F,267
607177,0607177-08,F,266
607178,0607178-01,M,400
607178,0607178-02,M,400
607178,0607178-03,M,244
607178,0607178-04,M,243
607178,0607178-05,F,303
607178,0607178-06,F,303
607179,0607179-01,M,400
607179,0607179-02,M,400
607179,0607179-03,M,400
607179,0607179-04,M,400
607179,0607179-05,M,400
607179,0607179-06,M,342
607179,0607179-07,M,342
607179,0607179-08,F,383
607179,0607179-09,F,382
607180,0607180-01,M,297
607180,0607180-02,M,296
607180,0607180-03,F,232
607181,0607181-01,M,377
607181,0607181-02,F,177
607182,0607182-01,M,400
607182,0607182-02,M,400
607182,0607182-03,M,400
607182,0607182-04,M,243
607182,0607182-05,M,243
607182,0607182-06,F,400
607182,0607182-07,F,400
607182,0607182-08,F,400
607182,0607182-09,F,275
607182,0607182-10,F,275
607183,0607183-01,M,400
607183,0607183-02,M,400
607183,0607183-03,M,217
607183,0607183-04,M,217
607183,0607183-05,F,244
607183,0607183-06,F,243
607184,0607184-01,M,299
607184,0607184-02,M,298
607184,0607184-03,F,220
607185,0607185-01,M,400
607185,0607185-02,M,400
607185,0607185-03,M,400
607185,0607185-04,M,292
607185,0607185-05,M,291
607185,0607185-06,F,400
607185,0607185-07,F,386
607185,0607185-08,F,385
607186,0607186-01,M,400
607186,0607186-02,M,400
607186,0607186-03,M,400
607186,0607186-04,M,400
607186,0607186-05,M,370
607186,0607186-06,M,370
607186,0607186-07,F,302
607186,0607186-08,F,301
607187,0607187-01,M,400
607187,0607187-02,M,400
607187,0607187-03,M,400
607187,0607187-04,M,400
607187,0607187-05,M,400
607187,0607187-06,M,400
607187,0607187-07,M,400
607187,0607187-08,M,377
607187,0607187-09,M,377
607187,0607187-10,F,400
607187,0607187-11,F,400
607187,0607187-12,F,400
607187,0607187-13,F,246
607187,0607187-14,F,245
607188,0607188-01,M,400
607188,0607188-02,M,400
607188,0607188-03,M,400
607188,0607188-04,M,268
607188,0607188-05,M,267
607188,0607188-06,F,298
607188,0607188-07,F,297
607189,0607189-01,M,400
607189,0607189-02,M,400
607189,0607189-03,M,214
607189,0607189-04,M,214
607189,0607189-05,F,275
607189,0607189-06,F,274
607190,0607190-01,M,400
607190,0607190-02,M,400
607190,0607190-03,M,400
607190,0607190-04,M,400
607190,0607190-05,M,393
607190,0607190-06,M,392
607190,0607190-07,F,400
607190,0607190-08,F,377
607190,0607190-09,F,377
607191,0607191-01,M,400
607191,0607191-02,M,400
607191,0607191-03,M,400
607191,0607191-04,M,400
607191,0607191-05,M,389
607191,0607191-06,M,389
607191,0607191-07,F,400
607191,0607191-08,F,384
607191,0607191-09,F,383
608192,0608192-01,M,400
608192,0608192-02,M,394
608192,0608192-03,M,394
608192,0608192-04,F,285
608192,0608192-05,F,285
608193,0608193-01,M,306
608193,0608193-02,M,306
608193,0608193-03,F,237
608193,0608193-04,F,237
608194,0608194-01,M,400
608194,0608194-02,M,400
608194,0608194-03,M,400
608194,0608194-04,M,400
608194,0608194-05,M,394
608194,0608194-06,M,394
608194,0608194-07,F,400
608194,0608194-08,F,386
608194,0608194-09,F,385
608195,0608195-01,M,400
608195,0608195-02,M,400
608195,0608195-03,M,400
608195,0608195-04,M,288
608195,0608195-05,M,288
608195,0608195-06,F,298
608195,0608195-07,F,298
608196,0608196-01,M,400
608196,0608196-02,M,400
608196,0608196-03,M,400
608196,0608196-04,M,337
608196,0608196-05,M,337
608196,0608196-06,F,361
608197,0608197-01,M,346
608197,0608197-02,M,346
608197,0608197-03,F,160
608198,0608198-01,M,400
608198,0608198-02,M,400
608198,0608198-03,M,400
608198,0608198-04,M,394
608198,0608198-05,M,394
608198,0608198-06,F,223
608198,0608198-07,F,223
608199,0608199-01,M,400
608199,0608199-02,M,400
608199,0608199-03,M,400
608199,0608199-04,M,400
608199,0608199-05,M,212
608199,0608199-06,M,212
608199,0608199-07,F,211
608199,0608199-08,F,210
608200,0608200-01,M,400
608200,0608200-02,M,400
608200,0608200-03,M,400
608200,0608200-04,M,400
608200,0608200-05,M,400
608200,0608200-06,M,400
608200,0608200-07,M,400
608200,0608200-08,M,400
608200,0608200-09,M,293
608200,0608200-10,M,292
608200,0608200-11,F,400
608200,0608200-12,F,202
608200,0608200-13,F,201
608201,0608201-01,M,400
608201,0608201-02,M,400
608201,0608201-03,M,400
608201,0608201-04,M,400
608201,0608201-05,M,381
608201,0608201-06,M,381
608201,0608201-07,F,376
608201,0608201-08,F,376
608202,0608202-01,M,400
608202,0608202-02,M,361
608202,0608202-03,M,360
608202,0608202-04,F,221
608202,0608202-05,F,220
608203,0608203-01,M,400
608203,0608203-02,M,400
608203,0608203-03,M,400
608203,0608203-04,M,307
608203,0608203-05,M,306
608203,0608203-06,F,299
608203,0608203-07,F,298
608204,0608204-01,M,400
608204,0608204-02,M,400
608204,0608204-03,M,400
608204,0608204-04,M,213
608204,0608204-05,M,212
608204,0608204-06,F,231
608205,0608205-01,M,400
608205,0608205-02,M,400
608205,0608205-03,M,400
608205,0608205-04,M,400
608205,0608205-05,M,270
608205,0608205-06,M,269
608205,0608205-07,F,344
608205,0608205-08,F,344
608206,0608206-01,M,277
608206,0608206-02,M,277
608206,0608206-03,F,155
608207,0608207-01,M,400
608207,0608207-02,M,386
608207,0608207-03,M,385
608207,0608207-04,F,294
608208,0608208-01,M,400
608208,0608208-02,M,400
608208,0608208-03,M,400
608208,0608208-04,M,400
608208,0608208-05,M,364
608208,0608208-06,M,364
608208,0608208-07,F,344
608208,0608208-08,F,344
608209,0608209-01,M,400
608209,0608209-02,M,400
608209,0608209-03,M,209
608209,0608209-04,M,209
608209,0608209-05,F,292
608209,0608209-06,F,291
608210,0608210-01,M,400
608210,0608210-02,M,400
608210,0608210-03,M,400
608210,0608210-04,M,289
608210,0608210-05,M,288
608210,0608210-06,F,298
608210,0608210-07,F,297
608211,0608211-01,M,400
608211,0608211-02,M,208
608211,0608211-03,M,207
608211,0608211-04,F,51
608213,0608213-01,M,400
608213,0608213-02,M,385
608213,0608213-03,M,384
608213,0608213-04,F,286
608213,0608213-05,F,285
608215,0608215-01,M,400
608215,0608215-02,M,400
608215,0608215-03,M,207
608215,0608215-04,M,206
608215,0608215-05,F,285
608215,0608215-06,F,285
608216,0608216-01,M,400
608216,0608216-02,M,393
608216,0608216-03,M,392
608216,0608216-04,F,286
608216,0608216-05,F,286
608217,0608217-01,M,400
608217,0608217-02,M,394
608217,0608217-03,M,393
608217,0608217-04,F,280
608217,0608217-05,F,280
608218,0608218-01,M,400
608218,0608218-02,M,400
608218,0608218-03,M,211
608218,0608218-04,M,211
608218,0608218-05,F,275
608218,0608218-06,F,275
608219,0608219-01,M,293
608219,0608219-02,M,292
608219,0608219-03,F,294
608219,0608219-04,F,293
608220,0608220-01,M,293
608220,0608220-02,M,293
608220,0608220-03,F,286
608220,0608220-04,F,285
609221,0609221-01,M,291
609221,0609221-02,M,290
609221,0609221-03,F,158
609222,0609222-01,M,376
609222,0609222-02,M,375
609222,0609222-03,F,192
609223,0609223-01,M,400
609223,0609223-02,M,321
609223,0609223-03,M,320
609223,0609223-04,F,282
609224,0609224-01,M,400
609224,0609224-02,M,238
609224,0609224-03,M,237
609224,0609224-04,F,168
609225,0609225-01,M,241
609225,0609225-02,M,240
609225,0609225-03,F,138
609226,0609226-01,M,2
609226,0609226-02,F,1
609227,0609227-01,M,202
609227,0609227-02,F,38
609228,0609228-01,M,368
609228,0609228-02,F,68
609229,0609229-01,M,400
609229,0609229-02,M,400
609229,0609229-03,M,208
609229,0609229-04,M,208
609229,0609229-05,F,400
609229,0609229-06,F,383
609229,0609229-07,F,383
609230,0609230-01,M,400
609230,0609230-02,M,400
609230,0609230-03,M,400
609230,0609230-04,M,314
609230,0609230-05,M,314
609230,0609230-06,F,299
609230,0609230-07,F,299
609231,0609231-01,M,400
609231,0609231-02,M,400
609231,0609231-03,M,208
609231,0609231-04,M,207
609231,0609231-05,F,296
609231,0609231-06,F,295
609232,0609232-01,M,400
609232,0609232-02,M,400
609232,0609232-03,M,400
609232,0609232-04,M,301
609232,0609232-05,M,300
609232,0609232-06,F,279
609232,0609232-07,F,278
609233,0609233-01,M,400
609233,0609233-02,M,400
609233,0609233-03,M,400
609233,0609233-04,M,310
609233,0609233-05,M,309
609233,0609233-06,F,312
609233,0609233-07,F,311
609234,0609234-01,M,400
609234,0609234-02,M,400
609234,0609234-03,M,400
609234,0609234-04,M,400
609234,0609234-05,M,400
609234,0609234-06,M,216
609234,0609234-07,M,215
609234,0609234-08,F,400
609234,0609234-09,F,400
609234,0609234-10,F,400
609234,0609234-11,F,298
609234,0609234-12,F,297
609235,0609235-01,M,400
609235,0609235-02,M,400
609235,0609235-03,M,400
609235,0609235-04,M,322
609235,0609235-05,M,321
609235,0609235-06,F,295
609235,0609235-07,F,295
609236,0609236-01,M,341
609236,0609236-02,M,340
609236,0609236-03,F,400
609236,0609236-04,F,388
609236,0609236-05,F,388
609237,0609237-01,M,400
609237,0609237-02,M,400
609237,0609237-03,M,400
609237,0609237-04,M,400
609237,0609237-05,M,400
609237,0609237-06,M,400
609237,0609237-07,M,293
609237,0609237-08,M,293
609237,0609237-09,F,400
609237,0609237-10,F,381
609237,0609237-11,F,381
609238,0609238-01,M,195
609238,0609238-02,F,103
609239,0609239-01,M,400
609239,0609239-02,M,400
609239,0609239-03,M,400
609239,0609239-04,M,400
609239,0609239-05,M,400
609239,0609239-06,M,400
609239,0609239-07,M,400
609239,0609239-08,M,400
609239,0609239-09,M,209
609239,0609239-10,M,209
609239,0609239-11,F,400
609239,0609239-12,F,400
609239,0609239-13,F,400
609239,0609239-14,F,250
609239,0609239-15,F,250
609240,0609240-01,M,214
609240,0609240-02,M,214
609240,0609240-03,F,104
609241,0609241-01,M,283
609241,0609241-02,F,59
610243,0610243-01,M,400
610243,0610243-02,M,400
610243,0610243-03,M,338
610243,0610243-04,M,337
610243,0610243-05,F,400
610243,0610243-06,F,241
610243,0610243-07,F,240
610244,0610244-01,M,330
610244,0610244-02,F,111
610245,0610245-01,M,400
610245,0610245-02,M,264
610245,0610245-03,M,264
610245,0610245-04,F,372
610246,0610246-01,M,322
610246,0610246-02,F,114
610247,0610247-01,M,355
610247,0610247-02,F,87
610248,0610248-01,M,334
610248,0610248-02,M,334
610248,0610248-03,F,210
610249,0610249-01,M,379
610249,0610249-02,M,378
610249,0610249-03,F,364
610250,0610250-01,M,400
610250,0610250-02,M,313
610250,0610250-03,M,313
610250,0610250-04,F,215
610250,0610250-05,F,215
610251,0610251-01,M,400
610251,0610251-02,M,400
610251,0610251-03,M,294
610251,0610251-04,M,294
610251,0610251-05,F,298
610251,0610251-06,F,297
610254,0610254-01,M,132
610254,0610254-02,F,19
611258,0611258-01,M,306
611258,0611258-02,M,305
611258,0611258-03,F,287
611258,0611258-04,F,286
611259,0611259-01,M,400
611259,0611259-02,M,225
611259,0611259-03,M,224
611259,0611259-04,F,296
611259,0611259-05,F,295
611260,0611260-01,M,400
611260,0611260-02,M,400
611260,0611260-03,M,400
611260,0611260-04,M,264
611260,0611260-05,M,263
611260,0611260-06,F,400
611260,0611260-07,F,293
611260,0611260-08,F,292
611261,0611261-01,M,400
611261,0611261-02,M,381
611261,0611261-03,M,380
611261,0611261-04,F,307
611261,0611261-05,F,306
611262,0611262-01,M,400
611262,0611262-02,M,225
611262,0611262-03,M,224
611262,0611262-04,F,364
611263,0611263-01,M,400
611263,0611263-02,M,396
611263,0611263-03,M,395
611263,0611263-04,F,291
611264,0611264-01,M,382
611264,0611264-02,M,382
611264,0611264-03,F,175
611265,0611265-01,M,400
611265,0611265-02,M,375
611265,0611265-03,M,375
611265,0611265-04,F,316
611266,0611266-01,M,400
611266,0611266-02,M,400
611266,0611266-03,M,236
611266,0611266-04,M,236
611266,0611266-05,F,301
611266,0611266-06,F,300
611267,0611267-01,M,400
611267,0611267-02,M,212
611267,0611267-03,M,211
611267,0611267-04,F,130
611268,0611268-01,M,261
611268,0611268-02,F,66
611269,0611269-01,M,400
611269,0611269-02,M,232
611269,0611269-03,M,231
611269,0611269-04,F,243
611270,0611270-01,M,400
611270,0611270-02,M,384
611270,0611270-03,M,384
611270,0611270-04,F,290
611270,0611270-05,F,289
611271,0611271-01,M,387
611271,0611271-02,M,387
611271,0611271-03,F,157
612273,0612273-01,M,400
612273,0612273-02,M,400
612273,0612273-03,M,400
612273,0612273-04,M,400
612273,0612273-05,M,400
612273,0612273-06,M,265
612273,0612273-07,M,264
612273,0612273-08,F,400
612273,0612273-09,F,400
612273,0612273-10,F,400
612273,0612273-11,F,353
612273,0612273-12,F,352
612274,0612274-01,M,400
612274,0612274-02,M,378
612274,0612274-03,M,378
612274,0612274-04,F,400
612274,0612274-05,F,224
612274,0612274-06,F,223
612275,0612275-01,M,400
612275,0612275-02,M,235
612275,0612275-03,M,234
612275,0612275-04,F,400
612275,0612275-05,F,400
612275,0612275-06,F,242
612275,0612275-07,F,242
612276,0612276-01,M,400
612276,0612276-02,M,253
612276,0612276-03,M,253
612276,0612276-04,F,381
612276,0612276-05,F,381
612277,0612277-01,M,400
612277,0612277-02,M,347
612277,0612277-03,M,347
612277,0612277-04,F,400
612277,0612277-05,F,249
612277,0612277-06,F,249
612278,0612278-01,M,356
612278,0612278-02,M,356
612278,0612278-03,F,298
612278,0612278-04,F,298
612279,0612279-01,M,400
612279,0612279-02,M,400
612279,0612279-03,M,400
612279,0612279-04,M,400
612279,0612279-05,M,400
612279,0612279-06,M,202
612279,0612279-07,M,202
612279,0612279-08,F,400
612279,0612279-09,F,400
612279,0612279-10,F,400
612279,0612279-11,F,400
612279,0612279-12,F,400
612279,0612279-13,F,400
612279,0612279-14,F,298
612279,0612279-15,F,297
612280,0612280-01,M,400
612280,0612280-02,M,400
612280,0612280-03,M,203
612280,0612280-04,M,203
612280,0612280-05,F,400
612280,0612280-06,F,382
612280,0612280-07,F,381
612281,0612281-01,M,400
612281,0612281-02,M,400
612281,0612281-03,M,203
612281,0612281-04,M,203
612281,0612281-05,F,400
612281,0612281-06,F,375
612281,0612281-07,F,375
612282,0612282-01,M,400
612282,0612282-02,M,400
612282,0612282-03,M,209
612282,0612282-04,M,208
612282,0612282-05,F,400
612282,0612282-06,F,400
612282,0612282-07,F,400
612282,0612282-08,F,276
612282,0612282-09,F,275
612283,0612283-01,M,400
612283,0612283-02,M,400
612283,0612283-03,M,400
612283,0612283-04,M,295
612283,0612283-05,M,295
612283,0612283-06,F,400
612283,0612283-07,F,387
612283,0612283-08,F,386
612284,0612284-01,M,400
612284,0612284-02,M,400
612284,0612284-03,M,208
612284,0612284-04,M,208
612284,0612284-05,F,400
612284,0612284-06,F,377
612284,0612284-07,F,376
612285,0612285-01,M,400
612285,0612285-02,M,400
612285,0612285-03,M,243
612285,0612285-04,M,242
612285,0612285-05,F,400
612285,0612285-06,F,388
612285,0612285-07,F,388
612286,0612286-01,M,307
612286,0612286-02,M,306
612286,0612286-03,F,304
612286,0612286-04,F,303
612287,0612287-01,M,235
612287,0612287-02,M,234
612287,0612287-03,F,68
612288,0612288-01,M,366
612288,0612288-02,F,109
613289,0613289-01,M,287
613289,0613289-02,M,287
613289,0613289-03,F,281
613289,0613289-04,F,281
613290,0613290-01,M,305
613290,0613290-02,M,304
613290,0613290-03,F,400
613290,0613290-04,F,400
613290,0613290-05,F,400
613290,0613290-06,F,261
613290,0613290-07,F,261
613291,0613291-01,M,284
613291,0613291-02,M,283
613292,0613292-01,M,400
613292,0613292-02,M,389
613292,0613292-03,M,389
613292,0613292-04,F,291
613292,0613292-05,F,291
613293,0613293-01,M,247
613293,0613293-02,M,247
613293,0613293-03,F,290
613293,0613293-04,F,289
613294,0613294-01,M,303
613294,0613294-02,M,302
613294,0613294-03,F,291
613294,0613294-04,F,290
613295,0613295-01,M,300
613295,0613295-02,M,299
613295,0613295-03,F,284
613295,0613295-04,F,284
613296,0613296-01,M,400
613296,0613296-02,M,400
613296,0613296-03,M,400
613296,0613296-04,M,400
613296,0613296-05,M,380
613296,0613296-06,M,380
613296,0613296-07,F,400
613296,0613296-08,F,392
613296,0613296-09,F,391
613297,0613297-01,M,400
613297,0613297-02,M,325
613297,0613297-03,M,325
613297,0613297-04,F,389
613297,0613297-05,F,389
613298,0613298-01,M,400
613298,0613298-02,M,345
613298,0613298-03,M,344
613298,0613298-04,F,386
613298,0613298-05,F,386
613299,0613299-01,M,400
613299,0613299-02,M,390
613299,0613299-03,M,389
613299,0613299-04,F,255
613299,0613299-05,F,255
613300,0613300-01,M,400
613300,0613300-02,M,400
613300,0613300-03,M,232
613300,0613300-04,M,231
613300,0613300-05,F,377
613300,0613300-06,F,376
613301,0613301-01,M,400
613301,0613301-02,M,400
613301,0613301-03,M,400
613301,0613301-04,M,400
613301,0613301-05,M,400
613301,0613301-06,M,246
613301,0613301-07,M,246
613301,0613301-08,F,400
613301,0613301-09,F,400
613301,0613301-10,F,328
613301,0613301-11,F,328
613302,0613302-01,M,400
613302,0613302-02,M,388
613302,0613302-03,M,387
613302,0613302-04,F,222
613303,0613303-01,M,9
613303,0613303-02,F,260
613304,0613304-01,M,290
613304,0613304-02,M,290
613304,0613304-03,F,293
613305,0613305-01,M,400
613305,0613305-02,M,220
613305,0613305-03,M,220
613305,0613305-04,F,266
613305,0613305-05,F,266
614306,0614306-01,M,400
614306,0614306-02,M,261
614306,0614306-03,M,260
614306,0614306-04,F,208
614306,0614306-05,F,208
614307,0614307-01,M,400
614307,0614307-02,M,400
614307,0614307-03,M,400
614307,0614307-04,M,266
614307,0614307-05,M,265
614307,0614307-06,F,400
614307,0614307-07,F,235
614307,0614307-08,F,235
614308,0614308-01,M,295
614308,0614308-02,M,295
614308,0614308-03,F,294
614308,0614308-04,F,294
614309,0614309-01,M,281
614309,0614309-02,M,281
614309,0614309-03,F,162
614310,0614310-01,M,400
614310,0614310-02,M,400
614310,0614310-03,M,400
614310,0614310-04,M,201
614310,0614310-05,M,200
614310,0614310-06,F,400
614310,0614310-07,F,400
614310,0614310-08,F,260
614310,0614310-09,F,260
614311,0614311-01,M,400
614311,0614311-02,M,279
614311,0614311-03,M,278
614311,0614311-04,F,400
614311,0614311-05,F,204
614311,0614311-06,F,203
614312,0614312-01,M,391
614312,0614312-02,M,391
614312,0614312-03,F,340
614312,0614312-04,F,339
614313,0614313-01,M,295
614313,0614313-02,F,307
614314,0614314-01,M,303
614314,0614314-02,M,302
614314,0614314-03,F,263
614314,0614314-04,F,262
614315,0614315-01,M,209
614315,0614315-02,M,208
614315,0614315-03,F,301
614316,0614316-01,M,273
614316,0614316-02,M,272
614316,0614316-03,F,257
614316,0614316-04,F,257
614317,0614317-01,M,299
614317,0614317-02,M,299
614317,0614317-03,F,316
614317,0614317-04,F,315
614318,0614318-01,M,378
614318,0614318-02,M,378
614318,0614318-03,F,288
614318,0614318-04,F,287
614319,0614319-01,M,400
614319,0614319-02,M,233
614319,0614319-03,M,233
614319,0614319-04,F,400
614319,0614319-05,F,389
614319,0614319-06,F,388
614320,0614320-01,M,400
614320,0614320-02,M,254
614320,0614320-03,M,254
614320,0614320-04,F,400
614320,0614320-05,F,393
614320,0614320-06,F,392
615321,0615321-01,M,400
615321,0615321-02,M,400
615321,0615321-03,M,400
615321,0615321-04,M,400
615321,0615321-05,M,280
615321,0615321-06,M,280
615321,0615321-07,F,299
615321,0615321-08,F,298
615324,0615324-01,M,207
615324,0615324-02,M,207
615324,0615324-03,F,204
615324,0615324-04,F,203
615325,0615325-01,M,400
615325,0615325-02,M,400
615325,0615325-03,M,400
615325,0615325-04,M,294
615325,0615325-05,M,293
615325,0615325-06,F,400
615325,0615325-07,F,400
615325,0615325-08,F,400
615325,0615325-09,F,248
615325,0615325-10,F,247
615326,0615326-01,M,225
615326,0615326-02,M,225
615326,0615326-03,F,36
615327,0615327-01,M,400
615327,0615327-02,M,400
615327,0615327-03,M,400
615327,0615327-04,M,243
615327,0615327-05,M,242
615327,0615327-06,F,239
615328,0615328-01,M,400
615328,0615328-02,M,400
615328,0615328-03,M,359
615328,0615328-04,M,359
615328,0615328-05,F,341
615329,0615329-01,M,400
615329,0615329-02,M,400
615329,0615329-03,M,400
615329,0615329-04,M,273
615329,0615329-05,M,273
615329,0615329-06,F,262
615329,0615329-07,F,262
615330,0615330-01,M,289
615330,0615330-02,M,288
615330,0615330-03,F,25
615331,0615331-01,M,400
615331,0615331-02,M,271
615331,0615331-03,M,270
615331,0615331-04,F,131
615332,0615332-01,M,400
615332,0615332-02,M,310
615332,0615332-03,M,309
615332,0615332-04,F,255
615333,0615333-01,M,400
615333,0615333-02,M,274
615333,0615333-03,M,273
615333,0615333-04,F,105
615339,0615339-01,M,4
615339,0615339-02,F,63
615346,0615346-01,M,279
615346,0615346-02,M,279
615346,0615346-03,F,399
615346,0615346-04,F,398
615347,0615347-01,M,242
615347,0615347-02,M,242
615347,0615347-03,F,276
615348,0615348-01,M,400
615348,0615348-02,M,400
615348,0615348-03,M,400
615348,0615348-04,M,270
615348,0615348-05,M,270
615348,0615348-06,F,263
615348,0615348-07,F,262
615349,0615349-01,M,400
615349,0615349-02,M,349
615349,0615349-03,M,348
615349,0615349-04,F,18
616358,0616358-01,M,400
616358,0616358-02,M,334
616358,0616358-03,M,334
616358,0616358-04,F,228
616359,0616359-01,M,400
616359,0616359-02,M,400
616359,0616359-03,M,291
616359,0616359-04,M,291
616359,0616359-05,F,206
616359,0616359-06,F,206
616360,0616360-01,M,400
616360,0616360-02,M,400
616360,0616360-03,M,225
616360,0616360-04,M,225
616360,0616360-05,F,213
616360,0616360-06,F,212
616361,0616361-01,M,400
616361,0616361-02,M,400
616361,0616361-03,M,400
616361,0616361-04,M,397
616361,0616361-05,M,396
616361,0616361-06,F,362
616361,0616361-07,F,361
616362,0616362-01,M,336
616362,0616362-02,F,64
616363,0616363-01,M,400
616363,0616363-02,M,400
616363,0616363-03,M,400
616363,0616363-04,M,400
616363,0616363-05,M,400
616363,0616363-06,M,400
616363,0616363-07,M,305
616363,0616363-08,M,304
616363,0616363-09,F,400
616363,0616363-10,F,400
616363,0616363-11,F,207
616363,0616363-12,F,207
616364,0616364-01,M,341
616364,0616364-02,M,341
616364,0616364-03,F,368
616365,0616365-01,M,400
616365,0616365-02,M,400
616365,0616365-03,M,211
616365,0616365-04,M,210
616365,0616365-05,F,259
616365,0616365-06,F,258
616366,0616366-01,M,400
616366,0616366-02,M,400
616366,0616366-03,M,400
616366,0616366-04,M,400
616366,0616366-05,M,400
616366,0616366-06,M,400
616366,0616366-07,M,330
616366,0616366-08,M,329
616366,0616366-09,F,400
616366,0616366-10,F,373
616366,0616366-11,F,373
616367,0616367-01,M,305
616367,0616367-02,M,304
616367,0616367-03,F,127
616368,0616368-01,M,400
616368,0616368-02,M,400
616368,0616368-03,M,400
616368,0616368-04,M,400
616368,0616368-05,M,390
616368,0616368-06,M,389
616368,0616368-07,F,400
616368,0616368-08,F,334
616368,0616368-09,F,334
616369,0616369-01,M,208
616369,0616369-02,M,207
616369,0616369-03,F,169
616370,0616370-01,M,400
616370,0616370-02,M,400
616370,0616370-03,M,400
616370,0616370-04,M,400
616370,0616370-05,M,400
616370,0616370-06,M,315
616370,0616370-07,M,315
616370,0616370-08,F,400
616370,0616370-09,F,400
616370,0616370-10,F,210
