"province_code","province_name_eng","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital","pc_code","pc_name_eng","pc_name_dari","pc_name_pashto","pc_location_eng","pc_location_dari","pc_location_pashto","planned_2019","prelim_results_2019","planned_ps_count_2019","prelim_reporting_ps_count_2019","incomplete_ps_reporting","planned_2018","prelim_results_2018","final_results_2018","prelim_ps_count_2018","final_ps_count_2018","vr_topup_location","vr_final_total_19","vr_final_male_19","vr_final_fem_19","vr_final_kuchi_19","vr_prelim_total_19","vr_prelim_male_19","vr_prelim_fem_19","vr_prelim_kuchi_19","vr_prelim_sikh_19","vr_final_total_18","vr_final_male_18","vr_final_fem_18","vr_final_kuchi_18","vr_final_sikh_18","vr_prelim_total_18"
"01","KABUL","0101","KABUL CITY","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","YES","0101042","Jamal Mena, no. 12 Preliminary School","مکتب ابتدایه نمبر 12 جمال مینه","مکتب ابتدایه نمبر 12 جمال مینه","Qesmat e Awal Kart e Sakhi","قسمت اول کارته سخی","قسمت اول کارته سخی","YES","YES",12,12,"NO","YES","YES","YES",8,10,"NO",4297,2891,1406,1,4176,2819,1355,0,2,4179,2821,1358,0,0,4344
"01","KABUL","0101","KABUL CITY","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","YES","0101043","Legal Faculty (Pohanzai Huqooq)","پوهنځي حقوق","پوهنځي حقوق","Puhantoon Kabul (Kabul University)","پوهنتون کابل","پوهنتون کابل","YES","YES",9,9,"NO","YES","YES","YES",8,9,"NO",3297,2396,901,4,3161,2335,822,4,0,3145,2320,821,4,0,3252
"01","KABUL","0101","KABUL CITY","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","YES","0101044","Durkhanai High School","لیسه درخانی","لیسه درخانی","Kart e Mamoreen","کارته مامورين","کارته مامورين","YES","YES",8,8,"NO","YES","YES","YES",5,6,"NO",2945,1852,1093,2,2935,1846,1087,2,0,2917,1828,1087,2,0,3030
"01","KABUL","0101","KABUL CITY","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","YES","0101045","Sang Kashan Mosque","مسجد سنگ کشان","مسجد سنگ کشان","Seelo Road","سرک سیلو","سرک سیلو","YES","YES",4,4,"NO","YES","YES","YES",3,2,"NO",1164,987,177,0,1139,968,171,0,0,1130,959,171,0,0,1164
"01","KABUL","0101","KABUL CITY","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","YES","0101046","Sufi Islam School","مکتب صوفی اسلام","مکتب صوفی اسلام","Estgah e Aakhir Puhantoon","ایستگاه آخر  پوهنتون","ایستگاه آخر  پوهنتون","YES","YES",14,14,"NO","YES","YES","YES",9,12,"NO",5456,3508,1948,8,5374,3456,1909,8,1,5366,3455,1903,8,0,5562
"01","KABUL","0101","KABUL CITY","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","YES","0101047","Mahmood Hotaki High School","لیسه محمود هوتکی","لیسه محمود هوتکی","Deh bori","ده بوری","ده بوری","YES","YES",14,14,"NO","YES","YES","YES",9,12,"NO",5194,4313,881,17,5020,4162,840,17,1,5004,4146,841,17,0,5254
"01","KABUL","0101","KABUL CITY","كابل","0101-04","KABUL CITY NAHIA 04","كابل ناحیه 04","YES","0101048","Ghazi Mohammad Ayub School no.1","مکتب نمبر ۱ غازی محمد ایوب","مکتب نمبر ۱ غازی محمد ایوب","Bagh e Bala","باغ بالا","باغ بالا","YES","YES",6,6,"NO","YES","YES","YES",5,3,"NO",2135,1383,752,9,2141,1290,700,9,142,2134,1303,702,9,120,2206
"01","KABUL","0101","KABUL CITY","كابل","0101-04","KABUL CITY NAHIA 04","كابل ناحیه 04","YES","0101049","Raabia High School","ليسه رابيا","ليسه رابيا","Kart e Parwan","کارته پروان","کارته پروان","YES","YES",9,9,"NO","YES","YES","YES",7,7,"NO",3202,1942,1260,14,3189,1911,1264,13,1,3184,1907,1263,13,1,3240
"01","KABUL","0101","KABUL CITY","كابل","0101-04","KABUL CITY NAHIA 04","كابل ناحیه 04","YES","0101050","Haji Ghulam Dastagir Mosque","مسجد حاجي غلام دستگير","مسجد حاجي غلام دستگير","Shahr Aara","شهرارا","شهرارا","YES","YES",7,7,"NO","YES","YES","YES",4,6,"NO",2319,1730,589,3,2334,1739,593,2,0,2327,1732,593,2,0,2376
"01","KABUL","0101","KABUL CITY","كابل","0101-04","KABUL CITY NAHIA 04","كابل ناحیه 04","YES","0101051","Imam Reza e Ghareeb Mosque","مسجد امام رضاي غريب","مسجد امام رضاي غريب","Kolola Pushta","کلوله پشته","کلوله پشته","YES","YES",5,5,"NO","YES","YES","YES",3,4,"NO",1344,810,534,5,1330,805,519,5,1,1326,803,518,5,0,1374
