"province_code","pc_code","ps_code","ps_type","audit_or_recount","prelim_results_reporting","ps_invalidated","ps_open","commission_decision"
"09","0904102","0904102-01","M","NO","NO",NA,NA,NA
"09","0904102","0904102-02","M","NO","NO",NA,NA,NA
"09","0904102","0904102-03","M","NO","NO",NA,NA,NA
"09","0904102","0904102-04","M","NO","NO",NA,NA,NA
"09","0904102","0904102-05","M","NO","NO",NA,NA,NA
"09","0904102","0904102-06","F","NO","NO",NA,NA,NA
"09","0904107","0904107-01","M","NO","NO",NA,NA,NA
"09","0904107","0904107-02","M","NO","NO",NA,NA,NA
"09","0904107","0904107-03","F","NO","NO",NA,NA,NA
"09","0904109","0904109-01","M","NO","NO",NA,NA,NA
"09","0904109","0904109-02","M","NO","NO",NA,NA,NA
"09","0904109","0904109-03","F","NO","NO",NA,NA,NA
"09","0904116","0904116-01","M","NO","NO",NA,NA,NA
"09","0904116","0904116-02","M","NO","NO",NA,NA,NA
"09","0904116","0904116-03","M","NO","NO",NA,NA,NA
"09","0904116","0904116-04","M","NO","NO",NA,NA,NA
"09","0904116","0904116-05","M","NO","NO",NA,NA,NA
"09","0904116","0904116-06","F","NO","NO",NA,NA,NA
"09","0904116","0904116-07","F","NO","NO",NA,NA,NA
"09","0904116","0904116-08","F","NO","NO",NA,NA,NA
"09","0905145","0905145-01","M","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0905145","0905145-02","M","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0905145","0905145-03","M","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0905145","0905145-04","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0905145","0905145-05","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0905147","0905147-01","M","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0905147","0905147-02","M","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0905147","0905147-03","M","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0905147","0905147-04","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0905147","0905147-05","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0905150","0905150-01","M","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0905150","0905150-02","M","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0905150","0905150-03","M","YES","NO","NO",NA,"Decision 105 Paragraph 2"
"09","0905150","0905150-04","M","YES","NO","NO",NA,"Decision 105 Paragraph 2"
"09","0905150","0905150-05","M","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0905150","0905150-06","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0905150","0905150-07","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0905150","0905150-08","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0905154","0905154-01","M","NO","NO",NA,NA,NA
"09","0905154","0905154-02","M","NO","NO",NA,NA,NA
"09","0905154","0905154-03","M","NO","NO",NA,NA,NA
"09","0905154","0905154-04","F","NO","NO",NA,NA,NA
"09","0905154","0905154-05","F","NO","NO",NA,NA,NA
"09","0905155","0905155-01","M","NO","NO",NA,NA,NA
"09","0905155","0905155-02","M","NO","NO",NA,NA,NA
"09","0905155","0905155-03","M","NO","NO",NA,NA,NA
"09","0905155","0905155-04","F","NO","NO",NA,NA,NA
"09","0905155","0905155-05","F","NO","NO",NA,NA,NA
"09","0905156","0905156-01","M","NO","NO",NA,NA,NA
"09","0905156","0905156-02","M","NO","NO",NA,NA,NA
"09","0905156","0905156-03","M","NO","NO",NA,NA,NA
"09","0905156","0905156-04","M","NO","NO",NA,NA,NA
"09","0905156","0905156-05","M","NO","NO",NA,NA,NA
"09","0905156","0905156-06","M","NO","NO",NA,NA,NA
"09","0905156","0905156-07","F","NO","NO",NA,NA,NA
"09","0905156","0905156-08","F","NO","NO",NA,NA,NA
"09","0905156","0905156-09","F","NO","NO",NA,NA,NA
"09","0905156","0905156-10","F","NO","NO",NA,NA,NA
"09","0905156","0905156-11","F","NO","NO",NA,NA,NA
"09","0905156","0905156-12","F","NO","NO",NA,NA,NA
"09","0905157","0905157-01","M","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0905157","0905157-02","M","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0905157","0905157-03","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0905158","0905158-04","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0905159","0905159-04","M","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0905159","0905159-05","M","YES","NO","NO",NA,"Decision 105 Paragraph 1"
