"province_code","2012_AGCHO_district_code","province_name_eng","district_name_eng","AGI","AGR","AGT","AGV","BRS","BSD","NFS","NHS","SNW","URB","WAT","fao_total","calculated_total","difference","check","pct_urban","pct_irrigated"
"13","1308","KUNAR","Chawkay",1416,0,1,0,407,0,16590,4709,0,192,1207,24522,24522,0,"OK",0.00782970393931979,0.0577440665524835
"13","1309","KUNAR","Khas Kunar",6129,57,147,0,6174,0,10074,11957,0,316,1660,36515,36514,-1,"ERROR",0.00865421482171222,0.167853426083146
"13","1310","KUNAR","Dangam",1333,0,3,0,119,0,15160,3545,0,35,134,20328,20329,1,"ERROR",0.00172167839047666,0.0655713512715825
"13","1311","KUNAR","Bar Kunar",949,0,0,0,149,0,11707,3836,0,25,212,16878,16878,0,"OK",0.00148121815380969,0.0562270411186159
"13","1312","KUNAR","Ghazi Abad",1644,0,0,0,287,0,43474,10410,0,28,263,56107,56106,-1,"ERROR",0.000499055359498093,0.0293016789648166
"13","1313","KUNAR","Chapa Dara",1613,0,34,0,210,0,44052,13678,0,93,362,60042,60042,0,"OK",0.00154891575896872,0.0268645281636188
"13","1314","KUNAR","Nurgal",1416,0,19,4,3312,0,17543,7550,0,152,798,30793,30794,1,"ERROR",0.00493602649866857,0.045982983698123
"13","1315","KUNAR","Nari",2205,0,0,0,111,0,40900,9852,0,117,412,53597,53597,0,"OK",0.00218295800138067,0.0411403623337127
"14","1401","NURISTAN","Poruns",949,0,29,0,5717,0,16408,117139,1008,21,1413,142684,142684,0,"OK",0.000147178380196799,0.00665106108603628
"14","1402","NURISTAN","Mandol",2046,0,174,0,6034,0,23323,169757,1708,24,997,204064,204063,-1,"ERROR",0.000117610737860367,0.0100263154025963
"14","1403","NURISTAN","Duab",674,0,21,0,135,0,31775,23355,0,14,447,56422,56421,-1,"ERROR",0.000248134559827015,0.0119459066659577
"14","1404","NURISTAN","Nurgeram",642,1,0,1,1883,0,50909,44048,0,30,316,97833,97830,-3,"ERROR",0.000306654400490647,0.00656240417049985
"14","1405","NURISTAN","Wama",481,0,39,0,1203,0,17385,8953,0,21,63,28145,28145,0,"OK",0.00074613608100906,0.0170900692840647
"14","1406","NURISTAN","Waygal",1054,0,18,0,2636,0,34457,37344,0,16,59,75584,75584,0,"OK",0.000211685012701101,0.013944750211685
"14","1407","NURISTAN","Kamdesh",1442,0,0,0,4902,0,46219,69002,138,21,486,122211,122210,-1,"ERROR",0.000171835365354717,0.0117993617543573
"14","1408","NURISTAN","Barg-e-Mata",1643,403,143,0,32912,0,11430,109564,13999,22,1612,171729,171728,-1,"ERROR",0.000128109568620143,0.00956745551104072
"15","1501","BADAKHSHAN","Fayz Abad",912,18015,283,0,0,0,221,29072,0,439,440,49383,49382,-1,"ERROR",0.0088898789032441,0.018468267789883
"15","1502","BADAKHSHAN","Yaftal-e-Sufla",374,22438,230,0,752,0,409,34565,0,125,1396,60289,60289,0,"OK",0.00207334671333079,0.00620345336628572
"15","1503","BADAKHSHAN","Argo",2526,52438,232,0,728,0,83,47403,0,1019,976,105405,105405,0,"OK",0.00966747308002467,0.0239647075565675
