"election_date","results_date","election_type","results_status","province_code","province_name_eng","ballot_position","candidate_name_eng","party_name_eng_transliterated","candidate_gender","final_winner","votes"
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","08","Faryab",4,"Mir Mohammad Mahfouz Nedaee","Independent","M","NO",406
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","08","Faryab",5,"Haji Mohammad Mohaqiq","Independent","M","NO",528
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","08","Faryab",6,"Syed Ishaq Gilani","Nuhzat-e-Hambastagee Mili Afghanistan","M","NO",470
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","08","Faryab",7,"Abdul Satar Serat","Independent","M","NO",639
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","08","Faryab",8,"Abdul Hafiz Mansoor","Independent","M","NO",412
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","08","Faryab",9,"Ghulam Farooq Nijrabi","Hezb-e-Istiqlal-e-Afghanistan","M","NO",243
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","08","Faryab",10,"Ahmad Shah Ahmadzai","Independent","M","NO",967
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","08","Faryab",11,"Abdul Hasseb Aryan","Independent","M","NO",355
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","08","Faryab",12,"Wakil Mangal","Independent","M","NO",330
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","08","Faryab",13,"Abdul Hadi Khalilzai","Independent","M","NO",503
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","08","Faryab",14,"Mohammad Ebrahim Rashid","Independent","M","NO",641
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","08","Faryab",15,"Yonous Qanooni","Hezb-e-Nuhzhat-e-Mili Afghanistan","M","NO",42288
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","08","Faryab",16,"Massooda Jalal","Independent","F","NO",3515
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","08","Faryab",17,"Syed Abdul Hadi Dabir","Independent","M","NO",1686
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","08","Faryab",18,"Abdul Rashid Dostum","Independent","M","NO",230012
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","09","Ghazni",1,"Abdul Latif Pedram","Hezb-e-Congra-e-Mili Afghanistan","M","NO",1806
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","09","Ghazni",2,"Hamid Karzai","Independent","M","YES",238371
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","09","Ghazni",3,"Hamayon Shah Asifi","Independent","M","NO",532
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","09","Ghazni",4,"Mir Mohammad Mahfouz Nedaee","Independent","M","NO",669
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","09","Ghazni",5,"Haji Mohammad Mohaqiq","Independent","M","NO",179303
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","09","Ghazni",6,"Syed Ishaq Gilani","Nuhzat-e-Hambastagee Mili Afghanistan","M","NO",13703
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","09","Ghazni",7,"Abdul Satar Serat","Independent","M","NO",582
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","09","Ghazni",8,"Abdul Hafiz Mansoor","Independent","M","NO",383
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","09","Ghazni",9,"Ghulam Farooq Nijrabi","Hezb-e-Istiqlal-e-Afghanistan","M","NO",147
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","09","Ghazni",10,"Ahmad Shah Ahmadzai","Independent","M","NO",1402
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","09","Ghazni",11,"Abdul Hasseb Aryan","Independent","M","NO",125
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","09","Ghazni",12,"Wakil Mangal","Independent","M","NO",186
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","09","Ghazni",13,"Abdul Hadi Khalilzai","Independent","M","NO",351
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","09","Ghazni",14,"Mohammad Ebrahim Rashid","Independent","M","NO",306
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","09","Ghazni",15,"Yonous Qanooni","Hezb-e-Nuhzhat-e-Mili Afghanistan","M","NO",18999
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","09","Ghazni",16,"Massooda Jalal","Independent","F","NO",1334
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","09","Ghazni",17,"Syed Abdul Hadi Dabir","Independent","M","NO",173
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","09","Ghazni",18,"Abdul Rashid Dostum","Independent","M","NO",169
