"province_code","province_name_eng","province_name_dari","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital","pc_code","pc_name_eng","pc_location_eng","pc_name_dari","pc_location_dari","planned_2014","ps_planned_count","ps_male","ps_fem","prelim_first_round_results_reporting","final_first_round_results_reporting","prelim_run_off_results_reporting","final_run_off_results_reporting","lat","lon"
"01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES","0101062","Malika Soraia Girls High School","Proja-E-Taimani","مکتب نسوان ملکه ثریا","بروزه تايعني","YES",9,5,4,"YES","YES","YES","YES",34.5596375400001,69.15769124
"01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES","0101063","Jamhuriat High School","Salang Watt","ليسه جمهوريت","سالند وات","YES",7,4,3,"YES","YES","YES","YES",34.5256041900001,69.1660128300001
"01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES","0101064","Mohmmad Sediq Farhang School","Shahrak Police","مکتب محمد صدیق  فرهنگ","شهركة يوليس","YES",7,4,3,"YES","YES","YES","YES",34.5605491300001,69.1385433800001
"01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES","0101065","Mohammad Alam Faizzad High School","Shahrara","ليسه محمد علم فيض زاد","شهرارا","YES",7,4,3,"YES","YES","YES","YES",34.5341922400001,69.15840707
"01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES","0101066","Haji Ghulam Dastager Mosque","Shahrara","مسجد حاجي غلام دستگير","شهرارا","YES",5,3,2,"YES","YES","YES","YES",34.5376524700001,69.1460601200001
"01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES","0101067","Khwaja Ali Muafaq Mosque","Shahr-E-Now","مسجد خواجه علي موفق","سهر لو","YES",4,2,2,"YES","YES","YES","YES",34.533344,69.171544
"01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES","0101068","Haji Mohammad Dad Mosque","Taimani","مسجد حاجي محمد داد","تايمني","YES",4,2,2,"YES","YES","YES","YES",34.5501499500001,69.14923509
"01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES","0101069","Khwaja Abdullah Ansari Mosque","Shahr-E-Naw Pump Station","مسجد خواجه عبدالله انصاري","تانكط تبل شهر نو","YES",3,2,1,"YES","YES","YES","YES",34.5317051400001,69.1682807300001
"01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES","0101070","Fazel Baik Secondary School","Aab Rasani","مکتب متوسطه فاضل بيک","اب رساني","YES",6,3,3,"YES","YES","YES","YES",34.5206328200001,69.0667357400001
"01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES","0101071","Jaghori ha Mosque","Afshar-E-Selo","مسجد جاغوري ها","افشار سيلو","YES",3,2,1,"YES","YES","YES","YES",34.5382787700001,69.10594347
"01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES","0101072","Sahib-e- Zaman Mosque","Afshar-E-Selo","مسجد صاحب زمان","افشار سطو","YES",3,2,1,"YES","YES","YES","YES",34.5298093100001,69.1104124700001
"01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES","0101073","Qala- e- Kashif High School","Bazar Company","ليسه قلعه کاشف","بازار كعيني","YES",6,3,3,"YES","YES","YES","YES",34.52486973,69.05411655
"01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES","0101074","Abu Zar Ghafari High School","Chahar Rahi-E-Qambar","ليسه ابوذر غفاري","جهار راهي قعبر","YES",7,4,3,"YES","YES","YES","YES",34.5348655600001,69.0823137500001
"01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES","0101075","Imam-e-Hussain Mosque","Dewan Begi","مسجد امام حسین","ديوان بيكى","YES",4,3,1,"YES","YES","YES","YES",34.5177785300001,69.1017138300001
"01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES","0101076","Ayub Saber Mosque","Naw Abad, Qargha","مسجد ايوب صابر","نو أباد قرغه","YES",2,1,1,"YES","YES","YES","YES",34.53045618,69.07425211
"01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES","0101077","Poly Technique Mosque","Poly Technique","مسجد پولي تخنيک","بولي تخنيى","YES",6,3,3,"YES","YES","YES","YES",34.5323580800001,69.1164708100001
"01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES","0101078","Hazrat Bilal Mosque","Qala-E-Kashif","مسجد حضرت بلال","ةا٠ك ك١شف","YES",6,3,3,"YES","YES","YES","YES",34.5254069200001,69.0455371600001
"01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES","0101079","Itifaq Mosque","Qala-E-Tufan","مسجد اتفاق","قلعه طوفان","YES",3,2,1,"YES","YES","YES","YES",34.52250632,69.08491043
"01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES","0101080","Paghmaneha Mohammadia Mosque","Qala-E-Wahid","مسجد محمدي پغماني ها","قلعه واحد","YES",3,2,1,"YES","YES","YES","YES",34.51562708,69.11053547
"01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES","0101081","Shah-e- Awlia Mosque","Qargha","مسجد شاه اوليا","قرغه","YES",3,2,1,"YES","YES","YES","YES",34.54291778,69.0541872700001
"01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES","0101082","Deh Araban School","Qargha","مکتب ده عربان","قرغه","YES",6,3,3,"YES","YES","YES","YES",34.5423095600001,69.0600108900001
"01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES","0101083","Hazrat Usman Mosque","Fazal Big Village","مسجد حضرت عثمان","قريه فاضل بيكن","YES",3,2,1,"YES","YES","YES","YES",34.5230551100001,69.06156214
"01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES","0101084","Haji Yaqoob Mosque","Niaz Big Village","مسجد جامع حاجی یعقوب","قريه نياز بيكن","YES",2,1,1,"YES","YES","YES","YES",34.5193442100001,69.0926424
"01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES","0101085","Shaheed Mosque","Wardakeha Village","مسجد شهيد","قريه وردكن ها","YES",2,1,1,"YES","YES","YES","YES",34.52865732,69.058329
"01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES","0101086","Hazrat Shamsul Mashayakh High School","Phase A Of Khush-Hal Mina","لیسه حضرت شمس المشایخ","قسمت الف خوشحال مينه","YES",8,4,4,"YES","YES","YES","YES",34.5242060000001,69.112452
"01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES","0101087","Spin Kalai Girls High School","Phase A Of Khush-Hal Mina","لیسه نسوان سپین کلی","قسمت الف خوشحال مينه","YES",9,3,6,"YES","YES","YES","YES",34.51863114,69.1167856700001
"01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES","0101088","Mohammad Ismail Hassanzai High School","Phase B Of Khush-Hal Mina","لیسه محمد اسماعیل حسن زی","ة١،،١A ٠، ١ ، ;واج، ١٩ل ١ممااه","YES",5,3,2,"YES","YES","YES","YES",34.5281328300001,69.1002087200001
"01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES","0101089","Naheed Shaheed High School","Phase B Of Khush-Hal Mina","ليسه ناهيد شهيد","ة١،،١A ٠، ١ ، ;واج،١٩ل ما١ه","YES",8,4,4,"YES","YES","YES","YES",34.5247238500001,69.0942032000001
"01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES","0101090","Mohammadia Darul Hefaz Mosque","Phase B Of Khush-Hal Mina","مسجد محمدي دارالحفاظ","قسمتا ب خوشحال مينه","YES",2,1,1,"YES","YES","YES","YES",34.5221298000001,69.1053621000001
"01","KABUL","کابل","0101","KABUL","كابل","0101-05","KABUL NAHIA 05","كابل - ناحيه 05","YES","0101091","Professor Rasool Amin High School","Phase B Of Khush-Hal Mina","لیسه پروفیسور رسول امین","قسمتا ب خوشحال مينه","YES",7,4,3,"YES","YES","YES","YES",34.5287508800001,69.1175937
