pc_code,candidate_name_eng,ps_number_1,ps_number_2,ps_number_3,ps_number_4,ps_number_5,ps_number_6,ps_number_7,ps_number_8,ps_number_9,ps_number_10,ps_count
1409113,Mrs. Shahla Ata,0,0,0,0,0,,,,,,5
1409113,Dr. Ghulam Faroq Nijrabi,0,0,0,0,0,,,,,,5
1409113,Alhaj Abdul Ghafor Zori,0,0,0,0,0,,,,,,5
1409113,Mohammad Hashim Tawfiqi,0,0,0,0,0,,,,,,5
1409113,Hamed Karzai,27,60,27,39,21,,,,,,5
1409113,Dr. Abdullah Abdullah,113,93,113,132,145,,,,,,5
1409113,Dr. Frozan Fana,0,0,0,2,0,,,,,,5
1409113,Abdul Jabar Sabit,1,0,1,0,1,,,,,,5
1409113,Hidayat Amin Arsala,0,0,0,0,0,,,,,,5
1409113,Gul Ahmmad Yama ,0,0,0,0,0,,,,,,5
1501186,Haji Rahim Jan Shinzad,0,2,,,,,,,,,2
1501186,Mohammad Sarwar Ahmadzai,0,0,,,,,,,,,2
1501186,Eng. Moin‐ul‐din Ulfati,0,2,,,,,,,,,2
1501186,Dr. Habib Mangal,1,0,,,,,,,,,2
1501186,Zabih‐U‐llah Ghazi Noristani,0,0,,,,,,,,,2
1501186,Sayed Jalal Karim,4,1,,,,,,,,,2
1501186,Mirwais Yasini,2,2,,,,,,,,,2
1501186,Bismillah Shir,3,1,,,,,,,,,2
1501186,Bashir Ahmad Bizhan,0,2,,,,,,,,,2
1501186,Motasim Billah Mazhabi,2,3,,,,,,,,,2
1501186,Ashraf Ghani Ahmadzai,3,3,,,,,,,,,2
1501186,Abdul Latif Pedram,3,3,,,,,,,,,2
1501186,Shahnawaz Tanai,2,0,,,,,,,,,2
1501186,Mulla Abdul Salam Rakity,3,1,,,,,,,,,2
1501186,Zia‐ul‐haq Hafizi,1,0,,,,,,,,,2
1501186,Mohammad Akbar Oria,1,6,,,,,,,,,2
1501186,Sangin Mohammad Rahmani,2,0,,,,,,,,,2
1501186,Mahbob‐U‐lah Koshani,12,15,,,,,,,,,2
1501186,Abdul Hasib Arian,1,1,,,,,,,,,2
1501186,Mulla Ghulam Mohammad Rigi,1,0,,,,,,,,,2
1501186,Ramazan Bashardost,36,21,,,,,,,,,2
1501186,Abdul Majid Samim,1,1,,,,,,,,,2
1501186,Mrs. Shahla Ata,2,1,,,,,,,,,2
1501186,Dr. Ghulam Faroq Nijrabi,1,0,,,,,,,,,2
1501186,Alhaj Abdul Ghafor Zori,2,0,,,,,,,,,2
1501186,Mohammad Hashim Tawfiqi,1,1,,,,,,,,,2
1501186,Hamed Karzai,209,149,,,,,,,,,2
1501186,Dr. Abdullah Abdullah,180,102,,,,,,,,,2
1501186,Dr. Frozan Fana,2,4,,,,,,,,,2
1501186,Abdul Jabar Sabit,0,1,,,,,,,,,2
1501186,Hidayat Amin Arsala,0,3,,,,,,,,,2
1501186,Gul Ahmmad Yama ,0,2,,,,,,,,,2
1601041,Haji Rahim Jan Shinzad,0,1,0,,,,,,,,3
1601041,Mohammad Sarwar Ahmadzai,0,1,0,,,,,,,,3
1601041,Eng. Moin‐ul‐din Ulfati,1,0,0,,,,,,,,3
1601041,Dr. Habib Mangal,1,1,0,,,,,,,,3
1601041,Zabih‐U‐llah Ghazi Noristani,0,1,0,,,,,,,,3
