"pc_code_18","2018_IEC_district_code","pc_name_eng_18","pc_name_dari_18","assessment_status","planned_2018","2019_matched_to_2014_IEC_district_code","matched_by"
"0301006","0301","Parcha 13 Shahri School","مکتب پارچه ۱۳ شهری","New","YES","0301",NA
"0301013","0301","Abdul Qudous Jame Mosque","مسجد حاجی عبدالقدوس","New","YES","0301",NA
"0301015","0301","Pashayan Girls School","مکتب نسوان پشیان","Relocated","YES","0301",NA
"0301017","0301","Bayan Payen Secondary School","مکتب متوسه بایان پائین","Relocated","YES","0301",NA
"0301018","0301","Dolana High School","لیسه دولانه","Relocated","YES","0301",NA
"0301019","0301","Ilhaqya Khadijatul Kubra Madrassah","مدرسه الحاقیه خدیجه الکبرا","Relocated","YES","0301",NA
"0301021","0301","Amanullah Shaheed High School","لیسه امان الله شهید","Relocated","YES","0301",NA
"0301024","0301","Toghbeerdee Boys High School","لیسه ذکور توغبیردی","Relocated","YES","0301",NA
"0301031","0301","Shaheed Mawlawi Abdul Rahim Hanafi Darul Uloom","دارالعلوم شهید مولوی عبدالرحیم حنفی","New","YES","0301",NA
"0301036","0301","Mullah Hakam Shaheed High School","لیسه ملا حکم شهید","Relocated","YES","0301",NA
"0302040","0302","Nikah Khil Madrassah","مدرسه نکاح خیل","Relocated","YES","0302",NA
"0302041","0302","Khanqa Girls Secondary School","مکتب متوسطه نسوان  خانقا","New","YES","0302",NA
"0302047","0302","Bagram Airport Girls High School","لیسه نسوان میدان  هوای بگرام","Relocated","YES","0302",NA
"0302049","0302","Ghulam Ali Girls Secondary School","مکتب متوسطه نسوان غلام علی","Relocated","YES","0302",NA
"0303061","0303","Ustamah High School","لیسه استامه","Not Assessed","NO","0303",NA
"0303063","0303","Abdul Karim Shaheed School","مکتب عبداکریم شهید","Not Assessed","NO","0303",NA
"0303064","0303","Ezatullah Qul Har School","مکتب عزت الا قول هر","Not Assessed","NO","0303",NA
"0303065","0303","Mohammad Sharif Kafshan High School","لیسه  محمد شر یف  کفشان","Not Assessed","NO","0303",NA
"0303069","0303","Mawlawi Yar Mohammad Madrassah","مدرسه مولوی یارمحمد","Relocated","YES","0303",NA
"0303070","0303","Daraz Gerd School","مکتب دراز گرد","Relocated","YES","0303",NA
"0303172","0303","Namakab Secondary School","مکتب متوسطه نمک آب",NA,"YES","0303",NA
"0304072","0304","Abu Hanifah Ancho High School","مکتب لیسه ابوحنیفه انچو","Relocated","YES","0304",NA
"0304076","0304","Sayed Khil Girls High School","لیسه نسوان سیدخیل","New","YES","0304",NA
