"province_code","province_name_eng","district_code","district_name_eng","district_name_dari","district_name_pashto","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","district_or_subdivision_name_pashto","provincial_capital","pc_code","pc_name_eng","pc_name_dari","pc_name_pashto","pc_location_eng","pc_location_dari","pc_location_pashto","planned_2018","prelim_ps_count","final_ps_count","prelim_results_reporting","final_results_reporting","pc_change_initial_final_plan","assessment_status","vr_prelim","vr_total_removed","vr_removed_spoiled_IDs","vr_removed_no_tazkera","vr_removed_no_DOB","vr_removed_closed_PC","vr_removed_lost_book","vr_removed_duplicates","vr_removed_underage","vr_general_total","vr_general_male","vr_general_fem","vr_final_kuchi","vr_final_sikh","vr_final_all_male","vr_final_all_fem","vr_final_all_total"
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","كابل ناحیه 03","YES","0101036","Raabia Balkhi High School","لیسه رابعه بلخی","لیسه رابعه بلخی","Kart e Chahar","کاراته چهار","کاراته چهار","YES",1,2,"YES","YES","no change","Old",2886,96,25,0,16,0,0,40,15,2787,1694,1093,3,0,1697,1093,2790
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","كابل ناحیه 03","YES","0101037","Amir Dost Mohammad Khan School","مکتب امير دوست محمد خان","مکتب امير دوست محمد خان","Dehmazang","دهمزنگ","دهمزنگ","YES",5,4,"YES","YES","no change","Old",2238,105,27,1,20,0,0,25,32,2130,1617,513,3,0,1618,515,2133
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","كابل ناحیه 03","YES","0101038","Hanzalla Mosque","مسجد حنظله","مسجد حنظله","Dehmazang","دهمزنگ","دهمزنگ","YES",3,2,"YES","YES","no change","Old",1074,79,14,0,18,0,0,32,15,995,665,330,0,0,665,330,995
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","كابل ناحیه 03","YES","0101039","Amir Hamza Secondary School","مکتب متوسطه امير حمزه","مکتب متوسطه امير حمزه","Nawabad Dehmazang","نو آباد دهمزنگ","نو آباد دهمزنگ","YES",4,6,"YES","YES","no change","Old",2358,126,25,0,15,0,0,53,33,2232,1669,563,0,0,1669,563,2232
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","كابل ناحیه 03","YES","0101040","Mohammadia Mosque","مسجد محمدیه","مسجد محمدیه","Sarak e Awal","سرک اول","سرک اول","YES",3,2,"YES","YES","no change","Old",1885,97,6,0,24,0,0,45,22,1787,1255,532,1,0,1256,532,1788
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","كابل ناحیه 03","YES","0101041","Jamal Mena, no. 13 Secondary School","مکتب متوسطه نمبر١٣ جمال مينه","مکتب متوسطه نمبر١٣ جمال مينه","Jamal Mena","جمال مينه","جمال مينه","YES",4,4,"YES","YES","no change","Old",2228,122,18,0,20,0,0,63,21,2106,1116,990,0,0,1116,990,2106
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","كابل ناحیه 03","YES","0101042","Jamal Mena, no. 12 Preliminary School","مکتب ابتدایه نمبر 12 جمال مینه","مکتب ابتدایه نمبر 12 جمال مینه","Qesmat e Awal Kart e Sakhi","قسمت اول کارته سخی","قسمت اول کارته سخی","YES",8,10,"YES","YES","no change","Old",4344,165,29,0,27,0,0,52,57,4179,2821,1358,0,0,2821,1358,4179
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","كابل ناحیه 03","YES","0101043","Legal Faculty (Pohanzai Huqooq)","پوهنځي حقوق","پوهنځي حقوق","Puhantoon Kabul (Kabul University)","پوهنتون کابل","پوهنتون کابل","YES",8,9,"YES","YES","no change","Old",3252,107,31,0,24,0,0,40,12,3141,2320,821,4,0,2324,821,3145
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","كابل ناحیه 03","YES","0101044","Durkhanai High School","لیسه درخانی","لیسه درخانی","Kart e Mamoreen","کارته مامورين","کارته مامورين","YES",5,6,"YES","YES","no change","Relocated",3030,113,9,0,16,0,0,50,38,2915,1828,1087,2,0,1828,1089,2917
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","كابل ناحیه 03","YES","0101045","Sang Kashan Mosque","مسجد سنگ کشان","مسجد سنگ کشان","Seelo Road","سرک سیلو","سرک سیلو","YES",3,2,"YES","YES","no change","Old",1164,34,1,0,7,0,0,14,12,1130,959,171,0,0,959,171,1130
